ID,INSTRUCTION,INPUT,OUTPUT
11225,,,21
11254,,,"class Program {
    private String language;
    private int numLines;
    private List<String> commands;
    
    public Program(String language) {
        this.language = language;
        this.numLines = 0;
        this.commands = new ArrayList<>();
    }
    
    public void addLine(String command) {
        this.commands.add(command);
        this.numLines++;
    }
    
    public List<String> getCommands() {
        return this.commands;
    }
    
    public int getNumLines() {
        return this.numLines;
    }
    
    public String getLanguage() {
        return this.language;
    }
    
    public void execute() {
        for (String command : this.commands) {
            switch(this.language) {
                case 'Python':
                    //execute python command
                    break;
                case 'Java':
                    //execute java command
                    break;
                case 'C#':
                    //execute C# command
                    break;
            }
        }
    }
}"
11255,,"3, 5, 4, 1, 6","1, 3, 4, 5, 6"
11320,,,"[3,5,4]"
11360,,"for (i=0; i<10; i++) {
    console.log(""Hello World"");
}",
11375,,,y = 15
11376,,"[1, 2, 3, 4, 5]","def avg(nums):
    sum = 0
    for num in nums:
        sum += num
    return sum / len(nums)  # Output: 3.0"
11418,,,"if user_input == ""up"":
    # logic for action when user inputs ""up"""
11420,,,"def num_to_string(num):
    return str(num)"
11427,,,0
11441,,,18
11449,,"[3, 6, 11, 25, 0, 17]",
11450,,,4.5/5
11460,,,"<table>
<tr>
    <td>Column 1</td>
    <td>Column 2</td>
</tr>
</table>"
11461,,,"public class MaxNumber {
    public static int findMax(int[] arr) {
        int max = Integer.MIN_VALUE;
        for (int i=0; i < arr.length; i++) {
            if (arr[i] > max) {
                max = arr[i];
            }
        }
        return max;
    }

    public static void main(String[] args) {
        int[] numbers = {2, 3, 1, 5, 9};
        int max = findMax(numbers);
        System.out.println(""The maximum number is: "" + max);
    }
}"
11462,,,"function isPositive(num) {
    if (typeof num == 'number' && num > 0) {
        return true;
    } else {
        return false;
    }
}"
11463,,"[1, 2, 3, 4, 5]",4
11494,,,"#include <iostream> 
 
int main() 
{ 
    std::cout<<""Hello World""; 
    return 0; 
}"
11511,,,"def calculate_area_heron(a, b, c):
    s = (a + b + c)/2 
    area = (s*(s-a)*(s-b)*(s-c)) ** 0.5 
    return area"
11552,,"for (int i=0; i < N; i++)
  for (int j=0; j < N; j++)
    A[i][j] = A[j][i];","for (int i=0; i < N; i++)
  for (int j=i; j < N; j++)
    A[i][j] = A[j][i];"
11645,,,3
11656,,"def add(a, b):
    return a - b",
11687,,,"def bubbleSort(arr): 
    n = len(arr) 
  
    # Traverse through all array elements 
    for i in range(n): 
  
        # Last i elements are already in place 
        for j in range(0, n-i-1): 
  
            # traverse the array from 0 to n-i-1 
            # Swap if the element found is greater 
            # than the next element 
            if arr[j] > arr[j+1] : 
                arr[j], arr[j+1] = arr[j+1], arr[j]"
11758,,"3, 8, 5, 1, 9",
11763,,"5, 15, 20, 2, 10","def median_calc(nums): 
    nums.sort() 
    mid = len(nums)//2 
  
    if len(nums) % 2 == 0: 
        median = (nums[mid] + nums[mid - 1])/2 
    else: 
        median = nums[mid] 
  
    return median 
  
array = [5, 15, 20, 2, 10] 
n = len(array) 
  
med = median_calc(array) 
  
print(""The median of given array is: "" + str(med))"
11792,,,0.5.
11795,,467,
11841,,,"// Sample code to reverse a string 
String inputString = ""Hello World"";
 
StringBuilder sb = new StringBuilder();
 
for(int i = inputString.length() - 1; i >= 0; i--){
    sb.append(inputString.charAt(i));
}
 
String reversedString = sb.toString();
System.out.println(reversedString);
// Output: dlroW olleH"
11883,,,A+
11901,,"30, 20, 22, 34, 16, 32","30|
   |
22|   *
   | *        *
16| *    *    *
   |________*___
    10  20  30  40"
11904,,,5
11939,,,"public void reverse(int[] arr) {
 
  int low = 0;
  int high = arr.length-1;
 
  while (low < high) {
    int temp = arr[low];
    arr[low] = arr[high];
    arr[high] = temp;
    low++;
    high--;
  }
}"
11963,,,"// Algorithm to find the intersection of two arrays

function intersection(arr1, arr2) {
    // Create empty array to store intersection elements
    let result = [];

    // Loop through all elements of arr1
    for (let i = 0; i < arr1.length; i++) {
        // Loop through all elements of arr2
        for (let j = 0; j < arr2; j++){
            // Check if elements from arr1 and arr2 match
            if (arr1[i] === arr2[j]) {
                // If match, push element to result array
                result.push(arr1[i]);
            }
        }
    }

    // Return the result array 
    return result;
}"
11966,,,"1, 2, 3, 4, 5"
11972,,"5, 8, 13","5, 13"
12027,,,2525
12044,,y + 8 + 4y,5y + 8
12046,,5,31.4159
12180,,,"1. How satisfied are you with the overall shopping experience with our store?
    - Very Satisfied 
    - Satisfied 
    - Neither Satisfied Nor Dissatisfied 
    - Dissatisfied 
    - Very Dissatisfied 

2. How would you rate the website design and usability of our store's page?
    - Very Satisfied 
    - Satisfied 
    - Neither Satisfied Nor Dissatisfied 
    - Dissatisfied 
    - Very Dissatisfied 
    
3. How would you rate our product selection?
    - Very Satisfied 
    - Satisfied 
    - Neither Satisfied Nor Dissatisfied 
    - Dissatisfied 
    - Very Dissatisfied

4. How would you rate the customer service you received when making an inquiry?
    - Very Satisfied 
    - Satisfied 
    - Neither Satisfied Nor Dissatisfied 
    - Dissatisfied 
    - Very Dissatisfied 

5. How likely are you to recommend our store to a friend or family?
    - Very Likely 
    - Likely 
    - Neither Likely Nor Unlikely 
    - Unlikely 
    - Very Unlikely 

6. Do you have any additional feedback or suggestions for improving our store's services?
    - [Answer]"
12207,,"[10, 20, 30, 40, 50]",
12208,,,"<html>
    <head>
        <title>Heading and Subheading</title>
    </head>
    <body>
        <h1>Heading</h1>
        <h2>Subheading</h2>
    </body>
</html>"
12222,,,"def reverse_string(input_string):
  output_string = """"
  i = len(input_string)
  while i > 0:
    output_string += input_string[i-1]
    i = i-1
  print(output_string)"
12224,,"def multiply(a, b):
    c = a * b
    return c",
12225,,"3, 4, 6, 8, 10",
12261,,,"6, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66, 71, 76, 81, 86, 91, 96"
12262,,,"for i in my_list:
    print(i)"
12265,,14.659,"def round_to_two_decimal(num):
    return round(num, 2)

print(round_to_two_decimal(14.659)) # Output: 14.66"
12297,,,11
12299,,"17, 8, 3, 22, 9","8, 22"
12322,,"1, 2, 4, 5, 10",
12341,,,"{
    ""name"": ""Joe Smith"",
    ""age"": 33,
    ""occupation"": ""Software Developer""
}"
12374,,,"10, 11, 12, 13, 14."
12437,,,"for i in range(1, 6):
    print('*' * i)"
12448,,,1
12449,,,1
12452,,,0
12487,,,"6 x 1 = 6
6 x 2 = 12
6 x 3 = 18
6 x 4 = 24
6 x 5 = 30
6 x 6 = 36
6 x 7 = 42
6 x 8 = 48
6 x 9 = 54
6 x 10 = 60"
12502,,,5
12514,,"Program: 
def add_two(x):
    return x + 2

Input: 5",7
12516,,"1, 5, 23, 9","def find_max(nums):
    biggest = nums[0]
    for num in nums:
        if num > biggest:
            biggest = num
    return biggest

print(find_max([1, 5, 23, 9]))

Output: 23"
12519,,,"def round_num(num): 
    return round(num) 
  
print(round_num(4.5)) 

Output: 5"
12548,,"1,2,3,4",
12559,,,"def binary_search(arr, target):
    left = 0
    right = len(arr)-1
    while left <= right:
        mid = (left+right) // 2
        if arr[mid] == target:
            return mid
        elif target < arr[mid]:
            right = mid - 1
        else:
            left = mid + 1

    return -1"
12585,,"for (i = 0; i < 10; i++)
{
    console.log(i);
}","for (i = 0; i < 10; i++)
{
    console.log(i);
    while (i < 10)
    {
        i++;
    }
}"
12586,,C6H12O6,
12610,,"A(-3,-2)",
12650,,30,
12651,,"231, 132, 83, 489","489, 231, 132, 83"
12684,,,4513
12733,,3x + 5 = 28,
12746,,,"public static double getMedian(int[] a) 
{ 
    Arrays.sort(a); 
    int len = a.length; 
    if (len % 2 == 0) 
        return (a[(len/2)] +  
                a[(len/2)-1]) / 2; 
    else
        return a[len/2]; 
}"
12785,,,"import requests 
import lxml.html as lh 
import pandas as pd

url = 'https://finance.yahoo.com/quote/AAPL/'
page = requests.get(url)
doc = lh.fromstring(page.content)

column_headers = []
for col in doc.xpath('//table[@class=""W(100%) M(0) Bdcl(c)""]//tr[1]//th'):
    column_headers.append(col.text_content().strip())

table_rows = doc.xpath('//tr[@class = ""BdT Bdc($seperatorColor) Ta(start) Fz(s) Whs(nw)""]')

data = []
for row in table_rows:
    data_row = []
    for col in row.xpath('//td'):
        data_row.append(col.text_content().strip())
    data.append(data_row)
df = pd.DataFrame(data, columns=column_headers)"
12788,,"def encrypt(message, key):
  encrypted_message = """"
  for i in range(len(message)):
    encrypted_message += chr(ord(message[i]) + key)
 
  return encrypted_message",
12822,,63,
12839,,"def square(x):
    return x**2",
12862,,,"<html>
  <head>
    <title>Register for Workshop</title>
  </head>
  <body>
    <h1>Welcome!</h1>
    <p>Ready to join the workshop? Please fill out the form below to complete your registration.</p>
    <form action=""register.php"" method=""post"">
      <p>Name: <input type=""text"" name=""name"" /></p>
      <p>Email: <input type=""text"" name=""email"" /></p>
      <p>Phone: <input type=""text"" name=""phone"" /></p>
      <input type=""submit"" value=""Submit"" />
    </form>
  </body>
</html>"
12863,,,"<html>
  <head>
    <title>Book Search</title>
  </head>
  <body>
    <h1>Welcome!</h1>
    <p>Ready to search for a book? Please enter your keywords below and press the search button.</p>
    <form action=""search.php"" method=""post"">
      <p>Keywords: <input type=""text"" name=""keywords"" /></p>
      <input type=""submit"" value=""Search"" />
    </form>
  </body>
</html>"
12896,,,5.
12898,,,15.
12903,,,"A.2
B.3
C.1"
12906,,"(5, 7) (1, 3) (4, 4)","(1, 3), (4, 4), (5, 7)"
12938,,,7
12945,,"def checkPalindrome(arg):
   if arg == arg[::-1]:
      return True
   else:
      return False",
12948,,,"def isPrime(n): 
    if n <= 1: 
        return False
    
    for i in range(2, n): 
        if n % i == 0: 
            return False
  
    return True"
12970,,"1, 2, 3, 4",10
12974,,"2, 4, 6",48
12995,,,"def get_string(number):
    if(number == 0): 
        return 'zero' 
    if (number < 0):  
        return 'minus ' + get_string(-1 * number) 
       
    if (number > 0): 
 
        a = ["""",""one "",""two "",""three "",""four "", ""five "",""six "",""seven "",""eight "",""nine "",""ten "",""eleven "",""twelve "",""thirteen "",""fourteen "",""fifteen "",""sixteen "",""seventeen "",""eighteen "",""nineteen ""] 
         
        b = ["""","""",""twenty "",""thirty "",""forty "", ""fifty "",""sixty "",""seventy "",""eighty "",""ninety ""] 
         
        if (number < 20): 
            return a[number]  

        if (number < 100): 
            return b[number//10] + get_string(number%10) 
          
    return get_string(number//100) + ""hundred "" + get_string(number%100)"
13056,,7,
13063,,"A = (2, 4), B = (6, 8).",
13068,,"2, 3, 5",
13126,,"[2, 5, 8, 10, 20, 15]","// algorithm to find the maximum value in a list of numbers
max_val = 0;
for (i = 0; i < list.length; i++) {
  if(list[i] > max_val) {
    max_val = list[i];
  }
}

// return the maximum value
return max_val; 
// returns 20"
13136,,"3, 7",
13170,,,432
13179,,,12.
13187,,,6
13242,,103,1.03
13307,,,"function sumOfArray(arr){
  var sum = 0;
  for(var i=0;i<arr.length;i++){
    sum+=arr[i];
  }
  return sum;
}"
13322,,10,
13350,,,45-60
13356,,1959,
13366,,,"def even_odd(num): 
  if (num % 2 == 0): 
    print(""Even"")  
  else: 
    print(""Odd"")

# Driver code 
num = int(input(""Enter a number""))
even_odd(num)"
13370,,,"def delete_odd_nums(arr): 
  for i in range(len(arr)): 
    if arr[i] % 2 != 0: 
      arr.remove(arr[i]) 
  return arr 

# Driver code
arr = [2,4,6,7,8,10] 
print(delete_odd_nums(arr))"
13452,,,"37, 81, 56"
13459,,,"<!DOCTYPE html>
<html>
<head>
<title>Registration Form</title>
</head>
<body>

<form action=""/form-submit"" method=""POST"">
  <div>
    <label for=""name"">Name:</label><br>
    <input type=""text"" id=""name"" name=""name"">
  </div>
  <div>
    <label for=""email"">Email:</label><br>
    <input type=""email"" id=""email"" name=""email"">
  </div>
  <div>
    <label for=""password"">Password:</label><br>
    <input type=""password"" id=""password"" name=""password"">
  </div>
  <div>
    <button type=""submit"">Submit</button>
  </div>
</form>

</body>
</html>"
13462,,4.7,
13533,,,x2 + y2 = z2
13593,,,"for i in range(1, 6):
    print(i)"
13594,,,"def mean(num1, num2, num3, num4):
    return (num1 + num2 + num3 + num4) / 4"
13663,,,"public boolean containsString(List<String> list, String s) { 
    return list.contains(s); 
}"
13666,,,"int[] array = new int[100]; 
for (int i=0; i<array.length; i++) { 
    array[i] = i+1; 
};"
13676,,"[1, 5, 3, 8, 4]",4.4
13702,,"The paper is about the significance of animals in human culture.

Animals play an important role in human cultures around the world:
              1. Animals are a source of food, clothing, and shelter.
              2. Animals are an integral part of many religious and spiritual beliefs. 
             3. Animals have served as a source of companionship and comfort for people throughout history. 
References:
Armstrong, E. (2017). Animal-human relationships in history. Animal Behavior and Cognition, 4(2), 79-81.",
13711,,,z
13734,,"3, 7, 12",19
13739,,,"if x > 10:
    print(""x is greater than 10"")
else:
    print(""x is less than or equal to 10"")"
13793,,4x+ 6 = 20,4x = 14
13794,,y = 4x + 10,
13799,,,"def mergeSortedArrays(arr1, arr2):
    outputArray = []
    arr1_Index = 0
    arr2_Index = 0

    while arr1_Index < len(arr1) and arr2_Index < len(arr2):
        if arr1[arr1_Index] < arr2[arr2_Index]:
            outputArray.append(arr1[arr1_Index])
            arr1_Index += 1
        else:
            outputArray.append(arr2[arr2_Index])
            arr2_Index += 1
    while arr1_Index < len(arr1):
        outputArray.append(arr1[arr1_Index])
        arr1_Index += 1
    
    while arr2_Index < len(arr2):
        outputArray.append(arr2[arr2_Index])
        arr2_Index += 1 
    return outputArray
    
arr1 = [1, 2, 5, 8]
arr2 = [3, 4, 6, 7]
mergeSortedArrays(arr1, arr2) # [1,2,3,4,5,6,7,8]"
13800,,,"def reverse_string(s):
    """"""
    Function to reverse a string
    Arguments:
        s: string to be reversed
    Returns:
        string which is the reverse of given input
    """"""
    reversed_string = """"
    for char in s: 
        reversed_string = char + reversed_string
    
    return reversed_string

sample_string = ""Hello World!""
print(reverse_string(sample_string)) # ""!dlroW olleH"""
13867,,,"[
    {
        ""name"": ""John"",
        ""age"": 20
    },
    {
        ""name"": ""Alice"",
        ""age"": 21
    },
    {
        ""name"": ""Bob"",
        ""age"": 22
    }
]"
13888,,,(a - 6)(a - 1) = 0
13894,,9 + 4 x 3,21
13903,,"<div class=""primary"">
    <p>Sample text.</p>
</div>",".primary {
    color: #000000;
    font-weight: bold;
    font-size: 1.2rem;
}"
13921,,,"[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]"
13930,,"[3, 8, 5, 4, 1, 9]",
13941,,,"def LCS(s1, s2): 
    m = len(s1) 
    n = len(s2)
  
    # declaring the array for storing the dp values 
    L = [[None]*(n + 1) for _ in range(m + 1)] 
  
    """"""Following steps build L[m + 1][n + 1] in bottom up fashion 
    Note: L[i][j] contains length of LCS of X[0..i-1] 
    and Y[0..j-1]""""""
    for i in range(m + 1): 
        # previoius row is all zeros, 
        # as no common sequence can make using them 
        for j in range(n + 1): 
            # first columns of all rows are 0 
            if i == 0 or j == 0 : 
                L[i][j] = 0
            elif s1[i-1] == s2[j-1]: 
                L[i][j] = L[i-1][j-1]+1
            else: 
                L[i][j] = max(L[i-1][j] , L[i][j-1]) 
  
    # L[m][n] contains the length of LCS of X[0..n-1] & Y[0..m-1] 
    return L[m][n]"
13943,,,"def nextLargestPrime(num):
    #Increment the number by one
    num += 1

    #Loop until largest prime number is found
    while not isPrime(num):
        num += 1

    #Return the largest prime found
    return num"
13944,,"1
2 2
3 3 3
4 4 4 4","for i in range(1, 5):
    for j in range(1, i+1):
        print(i, end="" "")
    print()"
13960,,,6
13967,,,4
13974,,,"<html>

<head>
  <title>Job Application Form</title>
</head>
<body>
  <h1>Job Application Form</h1>
  <form>
    <h2>Personal Information</h2>
    <label>Name:</label>
    <input type=""text"" name=""name"" />

    <label>Email:</label>
    <input type=""text"" name=""email"" />

    <label>Phone Number:</label>
    <input type=""number"" name=""phone"" />

    <h2>Education</h2>
    <label>Highest Level of Education:</label>
    <input type=""text"" name=""education"" />

    <label>School/College/University:</label>
    <input type=""text"" name=""educational_institute"" />

    <h2>Skills and Qualifications</h2>
    <label>Relevant Skills:</label>
    <input type=""text"" name=""skills"" />
    
    <label>Major Achievements in Relevant Field:</label>
    <input type=""text"" name=""achievements"" />

    <h2>Experience</h2>
    <label>Previous Employer:</label>
    <input type=""text"" name=""previous_employer"" />

    <label>Previous job role:</label>
    <input type=""text"" name=""previous_job_role"" />

    <h2>References</h2>
    <label>Reference 1 Name:</label>
    <input type=""text"" name=""reference_1"" />
    
    <label>Reference 1 Contact:</label>
    <input type=""text"" name=""reference_1_contact"" />
    
    <label>Reference 2 Name:</label>
    <input type=""text"" name=""reference_2"" />
    
    <label>Reference 2 Contact:</label>
    <input type=""text"" name=""reference_2_contact"" />

<input type=""submit"" value=""Submit"" />
</form>
</body>
</html>"
13979,,,"<html>
   <div>
     <img src=""human_settlement_infographic.jpg"" alt=""human settlement infographic"">
   </div>
</html>"
13999,,01110101 01100001 01110010 01101001 01110100,
14007,,"8, 10, 15",
14033,,,6
14044,,,5
14145,,"A, B, C, D","A, B, C, D"
14160,,,💃🏻🌃🕺🏼
14189,,y = x3 + 2,
14231,,"user_input = int(input(""Please enter a number: ""))

if (user_input > 0):
    print(""positive"")
elif (user_input == 0):
    print(""neutral"")
else:
    print(""negative"")",
14253,,,y(3) = 0
14254,,"a = 8, b = 27","def gcd(a, b): 
    if a == 0 : 
        return b 
    return gcd(b % a, a) 

# prints 3 
print(""GCD is"", gcd(8, 27))"
14275,,,14
14316,,,"5 x 1 = 5
5 x 2 = 10
5 x 3 = 15
5 x 4 = 20
5 x 5 = 25 
5 x 6 = 30
5 x 7 = 35
5 x 8 = 40
5 x 9 = 45
5 x 10 = 50"
14343,,,18.3333333
14404,,"[3, 4, 5, 6, 7]","def sum_list(list):
    total = 0
    for num in list: 
        total += num
    return total

total_sum = sum_list([3, 4, 5, 6, 7]) 
print(total_sum) # Output: 25"
14455,,,11000000111001
14456,,,45
14458,,,"Grandpa 
         - Mom 
                      - Sister 
                               - Son"
14482,,,32
14526,,,"def filter_string_list(lst, string):
    return [item for item in lst if string in item]

filtered_list = filter_string_list(list, string)
print(filtered_list) # prints ['orange', 'banana', 'watermelon', 'cherry']"
14543,,"s = 0
for i in range(1,n):
     for j in range(1,i*i):
         if j % i == 0:
              s += j","s = 0
i_sq = 1
for i in range(1,n):
     for j in range(i_sq,i*i+1):
         if j % i == 0:
              s += j
     i_sq = i*i+1 # The inner loop starts at the square of i"
14544,,"def bubble_sort(arr):
    n = len(arr)
    
    # Traverse through all array elements
    for i in range(n):
 
        # Last i elements are already in place
        for j in range(0, n-i-1):
 
            # traverse the array from 0 to n-i-1
            # Swap if the element found is greater
            # than the next element
            if arr[j] > arr[j+1] :
                arr[j], arr[j+1] = arr[j+1], arr[j]
    
    return arr",
14550,,,:-)
14625,,,"for i in range(1,51):
    print(i)"
14712,,,1 + 1 + 1 = 3
14733,,,"for x in range(10):
    print(x, end="" "")"
14736,,"[2, 7, 11, 4]","def find_max(lst):
    return max(lst)"
14738,,,"import random

def predict_coin():
    if random.random() > 0.5:
        return ""Heads""
    else:
        return ""Tails"""
14740,,"<html>
    <head>
        <title>Sample Site</title>
        <meta name=""description"" content=""Sample site for testing purposes"">
        <meta name=""keywords"" content=""testing, sample"">
    </head>",
14743,,"function sortNumbers(arr){
    arr.sort(function(a, b) {
        return a - b;
    });
    return arr;
}",
14744,,"A = [[2, 3],
     [1, 5]]

B = [[1, 4], 
     [2, 6]]","[[6, 26], 
 [8, 30]]"
14784,,,"def count_a(input_string):
    count = 0
    for char in input_string:
        if char == 'a':
            count += 1
    return count"
14816,,,x = 4
14905,"Identify any errors in the following Python code.

def say_hello(name):
    print(""Hello %s!"" % name)

say_hello(""John"")",,
14924,,"5, 10, 15, 20, 25",
14991,,,"• Electric cars provide numerous benefits:
    • Environmental friendliness:
        • Fewer emissions 
        • Less pollution  
    • Low maintenance costs: 
        • Reduced long-term costs
        • Lower fuel costs"
15000,,,"0, 2, 4, 8."
15034,,"2, 5, 10",
15040,,"[[1, 2], [3, 4]]",
15060,,(5+7)*3.,60.
15085,,"[1,2,3]","def multiply_byTwo(arr):
  result_arr = []
  for ele in arr:
    result_arr.append(ele*2)
  return result_arr"
15096,,"2, 3, 3, 5, 6",
15117,,,"a=7, b=5"
15155,,300,30.00
15185,,30,
15240,,C3H7N,
15244,,123-456-7890,(123) 456-7890
15258,,,4545-8975-6845-5678
15315,,"class Student(): 
    def __init__(self, name, age, grade): 
        self.name = name 
        self.age = age 
        self.grade = grade","class Student(): 
    def __init__(self, name, age, grade, gender): 
        self.name = name 
        self.age = age 
        self.grade = grade
        self.gender = gender"
15352,,"3, 10, 33, 2",
15394,,,"1, 2, 3"
15395,,,2
15402,,"[1, 5, 9, 4]",19
15413,,,C
15483,,,"Algorithm SearchList (list, target_number): 

Set index = 0
Set found = False

While index < length of list and found = False:
    If list at index = target_number
        Set found = True
    Else
        Increment index
    
If found = True
    Print ""Number was found at index "" + index
Else
    Print ""Number was not found"""
15487,,,"//Function to calculate the distance
def calculate_distance(x1, y1, x2, y2): 
    dist = ((x2 - x1)**2 + (y2 - y1)**2)**0.5 
    return dist 

# Driver code 
x1 = 2
y1 = 3
x2 = 10
y2 = 20

# Calculate distance 
d = calculate_distance(x1, y1, x2, y2) 
print(""Distance between two points is:"", d)"
15498,,"3, 5, 8",
15523,,10 * 5,50
15547,,"4, 7, 12",
15584,,,2.
15588,,,77.
15596,,,0.4
15633,,"def add (a, b):
    return a + b",
15706,,"2, 4, 6, 8","2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40."
15720,,85368,
15722,,,87
15731,,538,
15740,,"x = 2y + 4, y = 3.",
15748,,,60
15871,,,8/23/2020
15874,,"program.py
def add_two_numbers(a, b):
    return a + b",
15879,,"10, 25",
15885,,2 + 3 = 5,7 - 4 = 3
15893,,10 x 5,50.
15915,,"[1, 2, 3, 4, 5]","[5, 4, 3, 2, 1]"
15950,,,7
15962,,,"[1, 2, 3, 4, 5, 6]"
15964,,,"[1, 2, 3, 4, 5, 6, 7]"
15970,,,x = 0
15971,,"2, 3, 7, 11, 15",
15983,,"[4,21,11,32,14]","[14,32,11,21,4]"
16000,,32,49
16094,,"[4, 3, 5, 9, 1]","[1, 3, 4, 5, 9]"
16124,,,2x + 7 - (2/5)
16129,,,"function calculateAreaRect($length, $width) {
    $area = $length * $width;
    return $area;
}"
16174,,2 + 3 x 4,14
16223,,"[1, 2, 3, 4, 5]",
16231,,,12
16319,,"16, 17, 33, 35",
16326,,,"<html>
    <head>
    </head>
    <body>
        <p>Hello, world!</p>
    </body>
</html>"
16351,,"[10, 8, 12, 14]","[8, 10, 12, 14]"
16387,,,S = 1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 = 55
16434,,,4
16435,,,2
16480,,,100
16501,,53,4.82
16562,,,2+2=4
16564,,,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61, 67, 71, 73, 79, 83, 89, 97."
16568,,"1, 4, 6, 8, 7","1, 7"
16601,,"5, 11, 87, 32",
16608,,,"// Function to calculate average of numbers in a list

FUNCTION avg(list)

  total = 0
  // Iterate over all the elements in the list
  FOR i = 0 to list.length-1
     total += list[i] // add each item in the list to total
  END FOR

  RETURN total/list.length // return average

END FUNCTION"
16630,,582,
16660,,254,"def number_converter(number): 
    #Hexadecimal Number System 
    hexadecimal = [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""A"", ""B"", ""C"", ""D"", ""E"", ""F""]
    
    # convert to binary 
    binary = bin(number).replace(""0b"","""")
    
    # index
    i = 0
    hexa = """"
    # While loop from 0 to the number of bits
    while(i < len(binary)):
        bit_four = binary[i : i + 4]
        remainder = bit_four % 16 #16 is Base 16 
        hexa += hexadecimal[remainder]
        i += 4
    return hexa 

res = number_converter(254)
print(res)
# output: FE"
16661,,,"# Python code to find all permutations of a string  
def permutations(string): 
   
    # If string is empty 
    if len(string) == 0: 
        return [] 

    # If there is only one character in string 
    if len(string) == 1: 
        return [string] 
   
    l = [] # empty list  
   
    # Iterate the input string  
    for i in range(len(string)): 
        m = string[i] 

        # Extracting string here 
        remString = string[:i] + string[i+1:] 

        # Generating all permutations  
        for p in permutations(remString): 
            l.append([m] + p) 
  
    return l 
 
# Driver program  
string = ""abc"" 
print(permutations(string)) 
# output: [['a', 'b', 'c'], ['b', 'a', 'c'], ['b', 'c', 'a'], ['a', 'c', 'b'], ['c', 'a', 'b'], ['c', 'b', 'a']]"
16675,,,64
16687,,"1,2,3",
16697,,,12
16709,,,22
16715,,"3, 8, 11",
16734,,,"1. 5 x 9 =
2. 9 x 5 = 
3. 5 x 9 x 1 = 
4. 9 x 5 x 1 = 
5. 5 x 9 x 1 x 1 ="
16778,,,"23, 29."
16789,,,2
16841,,255,
16852,,"3, 4, 5","def area(side1, side2, side3): 
    s = (side1 + side2 + side3) / 2
    area = (s * (s - side1) * (s - side2) * (s - side3)) ** 0.5
    return area 
  
a = area(3, 4, 5) 
print(a) 
# output 6.0"
16866,,,"def calculateTotalCost(items):
    total_cost = 0
    for item in items:
        total_cost += item['quantity'] * item['price']
    return total_cost"
16879,,,"2+3+4 = 9
5+6+7 = 18"
16897,,,"The algorithm should first tokenize the sentence given into individual words. After splitting the sentence, the algorithm can then use a frequency counter to keep track of how many times each word occurs. Once the counter has been created, the algorithm can then sort the counter array by the highest frequency word, and return the most frequently used word.

def most_frequent_words(sentence):
    words = sentence.split()
    word_freqs = {}
    
    # Create a counter to keep track of word frequency
    for word in words:
        if word in word_freqs:
            word_freqs[word] += 1
        else:
            word_freqs[word] = 1
    
    # Sort the counter array and return the most frequent words
    sorted_words = sorted(word_freqs.items(), key=lambda t: t[1], reverse=True)
    return sorted_words[0][0]"
16899,,,"def generate_random_matrix(n, m):
    matrix = []
    for i in range(n):
        row = []
        for j in range(m):
            random_num = random.randrange(0, 10)
            row.append(random_num)
        matrix.append(row)
    return matrix"
16926,,"def factorial(n):
    result = 1
    for i in range(1, n + 1):
        result *= i
    return result","def factorial(n):
  if n == 0:
    return 1
  else:
    return n*factorial(n - 1)"
17000,,,F
17038,,"[(3,7),(2,2),(2,5),(1,3),(8,6)]",
17040,,,10
17063,,,O(n)
17067,,"56, 99, 24",99
17111,,F.B.I.,
17119,,2x - 3 = 7,x = 5
17122,,,"""""""
This function searches an array for a particular number and returns an index if it is found. 

def search_array(arr, target): 
  for i in range(len(arr)): 
    if arr[i] == target: 
	  return i
 
  return -1
 
# Driver code 
array = [5, 10, 20, 25, 40] 
target = 20
index = search_array(array, target) 
 
if index != -1: 
  print(""Element found at index"", index) 
else: 
  print(""Element not found"") 
"""""""
17124,,"7, 9","""""""
This method takes two numbers and multiplies them without using the * operator. 

def multiply(num1, num2): 
    if(num2 == 0): 
        return 0
    if(num2 > 0): 
        return (num1 + multiply(num1, num2-1)) 
    if(num2 < 0): 
        return -(num1 + multiply(num1, -num2-1)) 

if __name__ == ""__main__"":
    num1 = 7
    num2 = 9
    result = multiply(num1, num2)
    print(result)
"""""""
17125,,,"//This Java program prints ""Hello World
public class HelloWorld {
   public static void main(String[] args) {
      System.out.println(""Hello World"");
   }
}"
17137,,"1, 2, 3, 4, 32, 0",
17143,,8x + 6 = 52,x = 6
17164,,"[8, 3, 9, 5, 1]","[9, 8, 5, 3, 1]"
17168,,,"def is_substring(s1, s2): 
    if s1 in s2 or s2 in s1: 
        return True
    else: 
        return False"
17221,,"[7, 9, 5, 4, 6, 8]",
17235,,"[5, 3, 9, 4, 1]",
17242,,,15781
17244,,"5, 3, 7, 2",17
17246,,,928
17254,,,3 x 4 x 5 = 60.
17276,,,3
