ID,PT,tokens_est_instance,tokens_est_id
25858ins,Faça uma lista de 10 atividades que você pode fazer sem sair de casa.,25,3
25859ins,Crie um roteiro para um anúncio de rádio para um restaurante.,22,3
25860ins,Elabore uma lista de 10 lanches saudáveis para uma criança de 1 ano.,27,3
25861ins,Leia o texto abaixo e determine a ideia principal.,16,4
25862ins,Crie um código que aceite uma matriz de números e duplique cada um deles.,28,4
25863ins,Como as pessoas podem se manter seguras ao usar as mídias sociais?,28,4
25864ins,De que maneiras a internet influencia nossas vidas?,16,3
25865ins,Descreva o significado da arte moderna.,11,3
25866ins,Gere um exemplo de comunicado de imprensa sobre o lançamento de um novo produto.,27,3
25867ins,Construa uma rede neural para resolver a regressão linear.,15,3
25868ins,Como a inteligência artificial ajuda a detectar fraudes?,18,3
25869ins,Construa um fluxograma para explicar o processo de uso de uma caneta,22,3
25870ins,Identifique os continentes do mundo,9,3
25871ins,Dê instruções sobre como criar um site.,18,3
25872ins,"Dado um conjunto de fatos, crie uma redação persuasiva.",22,3
25873ins,Dê conselhos sobre como economizar dinheiro suficiente para a aposentadoria.,28,3
25874ins,Adicione animações a uma página da web.,19,3
25875ins,"Dados dois trechos, compare e contraste o estilo de escrita.",20,3
25876ins,Identifique um dos principais benefícios do uso do aprendizado de máquina.,25,3
25877ins,Crie uma história sobre uma pessoa caminhando no parque.,22,3
25878ins,Gere uma nova categoria para um livro de receitas.,16,3
25879ins,Crie uma consulta para pesquisar o seguinte tópico em um banco de dados.,28,3
25880ins,Crie uma função que converta Celsius para Fahrenheit.,14,3
25881ins,Cite cinco maneiras de se manter seguro online.,18,4
25882ins,Analise o texto fornecido em relação ao tema principal.,20,3
25883ins,"Com base nos dados, classifique os itens em suas categorias apropriadas.",22,3
25884ins,Tenha uma ideia usando os objetos fornecidos.,17,3
25885ins,Compile uma lista de cinco palavras relacionadas à palavra-chave fornecida.,27,3
25886ins,Ordene a lista de palavras fornecida em ordem alfabética,19,3
25887ins,Crie uma solução alternativa para um determinado problema,17,3
25888ins,"Por favor, adivinhe as seguintes palavras com base nas pistas fornecidas.",25,3
25889ins,Gere uma senha aleatória para um serviço online,17,3
25890ins,Crie um tutorial explicando o que é inteligência artificial,16,3
25891ins,Crie um meme sobre uma situação engraçada,16,4
25892ins,Responda à seguinte pergunta: “Qual é o maior porto da Alemanha?”,27,4
25893ins,Explique a diferença entre os sistemas operacionais Android e iOS.,21,3
25894ins,Discuta os benefícios de viver na cidade em vez de viver no campo.,24,4
25895ins,Identifique as classes gramaticais das seguintes palavras e coloque-as em ordem:,27,3
25896ins,Sugira dois títulos para uma peça sobre duas irmãs que compartilham um segredo.,33,3
25897ins,Crie cinco questões de múltipla escolha relacionadas às ciências da Terra.,32,4
25898ins,Componha um conto sobre dois amigos com personalidades opostas.,21,3
25899ins,Crie um problema de história envolvendo a seguinte fração: 4/12,25,3
25900ins,Crie uma nova métrica para medir o desempenho de um servidor web.,24,3
25901ins,Dê-me um nome para um hoverboard,11,3
25902ins,"Escreva um poema curto com as palavras \""luar\"", \""tristeza\"" e \""vermelho\"".",30,3
25903ins,"Componha um poema curto de duas estrofes com as palavras \""folhas\"" e \""nuvens\"".",31,3
25904ins,Desenvolva um layout para uma pesquisa perguntando aos participantes sobre seus hábitos de compra.,32,3
25905ins,Resuma um artigo de notícias sobre uma questão política atual.,23,3
25906ins,Escreva um roteiro para uma peça curta sobre um grupo de pessoas tentando sobreviver a um desastre natural significativo.,40,3
25994ins,Escreva 10 linhas expressando por que as pessoas devem visitar o Egito,23,3
25995ins,Crie uma lista de 8 perguntas para fazer a possíveis tutores on-line.,26,3
25996ins,Explique as características do seguinte celular.,16,3
25997ins,Crie uma lista de 5 perguntas a serem feitas antes de investir em ações.,29,3
25998ins,Analise a página HTML e retorne o título da página.,23,3
25999ins,Encontre a área do triângulo usando o comprimento de seus três lados,26,3
26000ins,Crie uma função para converter Celsius para Fahrenheit,12,3
26001ins,Reescreva o código abaixo usando a notação pós-fixada,26,3
26002ins,Construir uma instrução if-else com base nas condições fornecidas,24,3
26003ins,Encontre a correlação das duas entradas fornecidas,18,3
26004ins,Crie um loop para imprimir os números ímpares no intervalo fornecido,23,3
26005ins,"Resuma o artigo \""Por que os gatos são péssimos animais de estimação\"".",28,3
26006ins,Quais são as melhores estratégias para gerenciar o estresse?,23,3
26007ins,Escreva uma história curta sobre como superar adversidades.,20,3
26008ins,Crie uma lista de cinco qualidades positivas que um bom líder deve ter.,25,3
26009ins,"Em uma escala de 1 a 10, avalie o atendimento que você recebeu.",24,3
26010ins,Cite duas maneiras de ativar um modelo de aprendizado de máquina.,26,3
26011ins,Qual é o tipo mais comum de aprendizado de máquina usado para processamento de linguagem natural?,31,3
26012ins,Cite uma técnica de aprendizado de máquina usada para previsão de séries temporais.,31,3
26013ins,Reescreva o seguinte em uma linguagem mais adequada para um anúncio ao cliente.,30,3
26014ins,Que medidas o governo está tomando para reduzir a poluição do ar?,22,3
26015ins,Cite uma maneira de controlar a qualidade dos dados para um modelo de aprendizado de máquina.,32,3
26016ins,Adicione uma variável no código para armazenar o nome de um usuário.,28,3
26017ins,Descreva como avaliar um modelo de aprendizado de máquina.,22,3
26018ins,Gere uma lista de 5 itens de ação a serem tomados ao lidar com a reclamação de um cliente,34,3
26019ins,Qual é o alcance do espectro visual humano?,14,3
26020ins,"Crie um cartaz usando o tema \""diversidade no local de trabalho\""",22,3
26021ins,Como os empregadores podem criar um local de trabalho mais inclusivo?,25,3
26022ins,Gere 3 perguntas para fazer a um potencial empregador durante uma entrevista,26,3
26023ins,Descreva as diferenças entre um fundo mútuo e um ETF,21,3
26024ins,Explique como o átomo de hidrogênio produz um espectro de emissão,25,3
26025ins,Dê um exemplo de um bem de consumo que está sujeito às leis da oferta e da procura,30,3
26026ins,"Compare dois dos seguintes itens e explique o porquê: Maçã, Banana, Laranja",27,3
26027ins,Sugira uma receita de pão de alho.,14,3
26028ins,Descreva uma maneira de usar sobras de vegetais,17,3
26029ins,Sugira uma maneira de reduzir a quantidade de plástico que entra no oceano,28,3
26196ins,Descreva uma característica que um programador de sucesso deve possuir.,24,3
26197ins,Gere um nome para uma empresa de análise de dados.,20,3
26198ins,Descubra a idade da pessoa com base na data de nascimento.,20,3
26199ins,Crie uma lista de dicas de segurança para alguém que faz caminhadas no inverno.,31,3
26200ins,Crie um processo de 5 etapas para escrever uma postagem de blog.,22,3
26201ins,Classifique as seguintes palavras como mamíferos ou pássaros,25,3
26202ins,Cite cinco navegadores da web,12,3
26203ins,Forneça um exemplo de um caso de uso para aprendizado de máquina,23,3
26204ins,Edite a seguinte frase (destaque as alterações em negrito),23,3
26205ins,Descreva o som que um cachorro pode fazer,15,3
26206ins,Qual é a regra de etiqueta mais importante ao jantar em um restaurante?,23,3
26207ins,Quantas onças há em dois litros?,13,3
26208ins,Qual elemento se tornará o resultado após a seguinte operação de mutação ser aplicada?,32,3
26209ins,Descreva o propósito geral do trecho de código.,19,3
26210ins,Reescreva uma frase substituindo as palavras indicadas entre parênteses por palavras apropriadas.,34,3
26211ins,Analise a frase em busca de erros gramaticais e forneça a versão corrigida.,26,3
26212ins,Identifique o que está errado na lista fornecida e forneça a ordem correta.,26,3
26213ins,"No exemplo dado, gere uma nova frase sintaticamente correta.",23,3
26214ins,Acrescente a próxima frase à frase dada de forma gramaticalmente correta.,26,3
26215ins,Converta a frase dada para sua forma passiva.,16,3
26216ins,Junte as duas frases fornecidas de modo que a frase resultante seja gramaticalmente correta.,29,3
26217ins,"Na frase fornecida, identifique a oração independente e a oração dependente.",26,3
26218ins,Escolha a melhor opção de palavras entre as opções fornecidas que preencham a lacuna de maneira gramaticalmente correta.,43,3
26219ins,"Classifique se a frase a seguir contém um exemplo de assonância, consonância ou aliteração.",36,3
26220ins,Dê uma explicação plausível para a seguinte afirmação,22,3
26221ins,Qual é a probabilidade de que ao lançar uma moeda saia cara?,23,3
26222ins,Reformule esta declaração para refletir um sentimento positivo,18,3
26223ins,Gere uma frase definindo o termo seleção natural,17,3
26224ins,Dê um exemplo de um produto comum de limpeza de banheiro,19,3
26225ins,Identifique três características da pele humana,16,3
26226ins,"Construa uma frase usando as palavras azul, maçã e escola",22,3
26227ins,Qual é a diferença entre um carvalho e um bordo?,19,3
26228ins,Escreva um algoritmo de classificação para detectar e-mails de spam.,23,3
26229ins,Crie um chatbot para ajudar os clientes a pedir comida.,18,3
26230ins,"Crie um e-mail para um amigo, pedindo que ele participe de um curso on-line com você.",29,3
26231ins,Suponha que você seja um web designer e crie um layout HTML usando classes CSS.,22,3
26232ins,Descreva as tarefas de processamento de linguagem natural que você pode realizar com o GPT-3.,32,3
26233ins,"Com base na categoria fornecida, recomende três livros.",18,3
26234ins,"Dado um número, gere um poema com o mesmo número de sílabas em cada linha.",32,3
26235ins,Crie uma postagem de blog que explique a criptografia de chave pública.,27,3
26236ins,Crie um gráfico para descrever o processo de conversão de uma frase em um vetor.,27,3
26237ins,Melhore a frase dada em termos gramaticais.,15,3
26238ins,Gere uma lista das 10 empresas com maior valor de mercado do mundo.,24,3
26239ins,Escreva uma consulta estruturada em SQL para obter todos os pedidos criados na última semana.,34,3
26240ins,"Reorganize a frase para transmitir o seguinte significado: \""Não sou fã de dever de casa\"".",31,3
26241ins,O que faz alguém ser um grande líder?,16,3
26242ins,Compare e contraste esses dois valores: 8 e 12,14,3
26243ins,Reescreva a frase para usar o mesmo vocabulário: Não estou satisfeito com a decisão.,31,3
26244ins,Conte-me uma história curta sobre uma corrida entre um coelho e uma raposa.,30,3
26245ins,Dê três exemplos de serviços de streaming populares.,17,3
26246ins,Crie uma lista de cinco ingredientes para uma sopa de brócolis.,23,3
26247ins,Reescreva a frase na voz ativa: O estudo foi escrito pela Dra. Susan Smith.,27,3
26248ins,Liste três efeitos negativos da poluição do ar.,21,3
26249ins,Altere esta frase para torná-la mais concisa: Ela sempre foi uma menina obediente e nunca se atrasava.,36,3
26250ins,"Descreva um personagem chamado \""John\"" em 3 frases.",18,3
26251ins,"Encurte a frase sem alterar o significado: Embora Jennifer tenha estudado muito, seu desempenho foi muito ruim na prova.",42,3
26252ins,"Categorize esses quatro itens como mamífero, pássaro, réptil ou peixe: elefante, golfinho, cobra, papagaio",44,3
26253ins,"Forneça uma tradução desta frase: \""El tren llegó a la estación.\""",28,3
26254ins,Crie um esboço para uma postagem de blog sobre saúde mental.,22,3
26255ins,Crie uma letra de música relacionada à natureza.,18,3
26256ins,Cite pelo menos 3 benefícios de usar transporte público.,22,3
26257ins,Escreva uma história centrada em uma competição de snowboard.,21,3
26258ins,Escreva uma carta a um amigo sobre uma experiência ruim que você teve.,28,3
26259ins,Reescreva esta frase para usar adjetivos e advérbios.,21,3
26260ins,Gere uma comparação relacionada a uma flor.,17,3
26261ins,Explique a diferença entre um endereço IP público e um privado.,25,3
26262ins,Liste 3 elementos comuns de uma senha forte.,15,3
26263ins,"Defina o termo \""linguagem assembly\"".",13,3
26264ins,Descreva os princípios de design de um banco de dados relacional.,21,3
26265ins,Liste 3 razões pelas quais a visualização de dados é importante.,24,3
26266ins,O que é análise de dependência?,13,3
26267ins,"Crie uma expressão regular para corresponder strings que contenham a palavra \""hello\"" e terminem em \""abc\"".",30,3
26278ins,coloque uma vírgula depois do modificador.,15,3
26279ins,Discuta uma diferença fundamental entre abstração e encapsulamento.,21,3
26280ins,Crie um pseudocódigo para um programa que receba dois números do usuário e imprima a soma deles.,36,3
26281ins,"Troque a palavra \""irritante\"" por \""chato\"".",17,3
26282ins,Recomendar uma ação de acompanhamento apropriada.,18,3
26283ins,Gere um trecho de código que imprimirá uma mensagem de boas-vindas.,28,3
26284ins,Analise o texto a seguir e forneça três conclusões principais.,25,3
26285ins,"Gere um poema anacróstico criativo para a palavra \""outono\"" ",25,3
26286ins,Quais são os benefícios do uso da Realidade Aumentada na educação?,25,3
26287ins,Reescreva a frase a seguir para refletir o outro ponto de vista,23,3
26288ins,Crie uma frase ofensiva que comece com a mesma consoante.,20,3
26289ins,"Liste os planetas do Sistema Solar em ordem, do mais próximo ao mais distante do Sol.",30,3
26290ins,Diferencie um imbróglio de um atoleiro.,17,3
26291ins,"Mude a frase a seguir para o tempo presente: \""O dia é quente e úmido.\""",29,3
26292ins,"Dados alguns fatos, faça uma análise abrangente da situação.",24,3
26293ins,Crie uma planilha para monitorar as metas de vendas de uma empresa.,23,3
26294ins,Escreva uma descrição de 1 a 3 frases sobre um apartamento que está em estado de deterioração.,33,3
26659ins,Cite uma atividade de verão que não exija dinheiro e exija pelo menos duas pessoas.,32,3
27111ins,Quanto você deve dar de gorjeta por uma refeição que custou US$ 60?,26,3
27112ins,Analise o discurso a seguir e dê um feedback,16,3
27113ins,De que forma um iPad é semelhante a um laptop?,15,3
27192ins,O que significa tentar fazer mais do que você é capaz?,18,3
27193ins,Escreva um e-mail formal aceitando a oferta de emprego,19,3
27194ins,Distinguir a parte verdadeira da afirmação dada,18,3
27195ins,Reescreva esta frase para que ela seja escrita na primeira pessoa.,24,3
27196ins,Resuma o documento em uma frase.,11,3
27197ins,Que emoção é expressa neste tweet?,12,3
27198ins,Categorize o texto a seguir rotulando-o como opinião ou fato.,25,3
27199ins,Crie uma frase que incorpore a seguinte palavra: behold,20,3
27200ins,Formule uma pergunta hipotética,11,3
27201ins,Reescreva esta frase para incorporar um antônimo,16,3
27202ins,Elabore esta frase,7,3
27203ins,Prepare uma apresentação que compare duas versões de um produto.,22,3
27204ins,Você recebe um design e é solicitado a reescrevê-lo para que seja mais eficaz,28,3
27205ins,"Em duas frases, explique do que se trata esse conjunto de dados",21,3
27206ins,Escreva um comentário apropriado que forneça detalhes adicionais ao código,28,3
27207ins,Crie uma entrada que acione uma resposta do assistente.,17,3
27208ins,Corrija o código fornecido corrigindo os erros de sintaxe,22,3
27209ins,Edite a frase de modo que nenhuma palavra seja repetida,19,3
27210ins,Projetar um algoritmo para adicionar dois inteiros positivos,20,3
27211ins,Gere uma lista de termos relacionados à tecnologia que estejam associados à Inteligência Artificial.,30,3
27212ins,"Edite a seguinte frase: \""Eu corro todas as manhãs\"". ",25,3
27213ins,"Você está jogando um jogo. Calcule sua pontuação final após levar em conta o seguinte: a pontuação inicial é 50, ganhou 4 pontos e perdeu 2 pontos.",58,3
27214ins,Sugira uma maneira de lidar com o cyberbullying.,17,3
27215ins,Descreva uma maneira construtiva de passar o tempo durante o autoisolamento.,25,3
27216ins,"Edite a seguinte frase: \""Ela não gosta deste filme\"".",23,3
27217ins,"Você é solicitado a avaliar o seguinte restaurante com base em uma escala de 1 a 10, sendo 10 a nota mais alta.\n\""O restaurante tem uma ótima atmosfera, equipe simpática e comida deliciosa.\""",73,3
27218ins,Identifique 4 sites que podem ser usados \u200b\u200bpara encontrar um emprego.,29,3
27219ins,Reescreva esta passagem em 15 palavras ou menos.,19,3
27220ins,Liste 5 tecnologias emergentes no campo da ciência da computação.,25,3
27221ins,"Explique o que significa \""resolução criativa de problemas\"".",21,3
27502ins,"Dada esta pintura, descreva a emoção que ela transmite.",21,3
27503ins,Qual é a altura do Monte Everest?,9,3
27504ins,Formule uma declaração que expresse uma relação de causa e efeito.,26,3
27505ins,Cite três vegetais que apresentam uma tonalidade avermelhada quando crus.,24,3
27506ins,"Construa uma frase simples usando as seguintes palavras: rapidamente, alguns",26,3
27507ins,Adicione mais palavras descritivas para tornar esta frase mais interessante.,25,3
27508ins,"Dado o nome de uma pessoa, crie uma história fictícia com essa pessoa como protagonista.",34,3
27509ins,Escolha dois pintores famosos e explique o que torna suas obras diferentes umas das outras.,32,3
27510ins,"Dado o nome de um político, forneça uma descrição detalhada dos objetivos políticos do político.",40,3
27511ins,Crie um título apropriado para expressar ironia relacionada a um determinado tópico.,28,3
27512ins,Crie uma metáfora para descrever algo que é difícil de entender.,24,3
27513ins,Encontre dois artigos de notícias relacionados ao tópico fornecido.,26,3
27514ins,Dê três dicas para reduzir a ansiedade.,16,3
27515ins,Identifique a raiz da palavra fornecida.,14,3
27516ins,Participe de uma discussão sobre o tópico fornecido.,19,3
27517ins,Gere um programa que imprima a lista de números fornecida na ordem inversa.,27,3
27518ins,Explique por que o noroeste do Pacífico é propenso a terremotos?,22,3
27519ins,Analise este texto quanto ao seu significado e gere uma lista de palavras-chave,28,3
27520ins,Gere uma manchete com base nesta notícia,14,3
27521ins,Crie um projeto 3D de uma casa de férias,18,3
27522ins,Crie um logotipo que represente a missão de uma empresa,19,3
27523ins,"Dada uma avaliação do cliente, gere uma resposta",18,3
27524ins,Gerar uma senha única e criativa com base na frase fornecida?,24,3
27525ins,Classifique a seguinte lista de nomes em ordem alfabética.,21,3
27526ins,Descreva o conteúdo com adjetivos e substantivos adequados.,20,3
27527ins,Como a temperatura afeta a velocidade do som?,16,3
27528ins,Gere cinco palavras persuasivas para usar em uma redação persuasiva.,25,3
27529ins,Escreva um conto sobre uma garota de 13 anos que descobre o poder da tecnologia.,29,3
27530ins,Lembre-me de ler um livro antes de dormir esta noite.,21,3
27531ins,Descreva os pensamentos e sentimentos internos de uma pessoa durante uma entrevista de emprego.,30,3
27532ins,"Defina o termo \""um campo da inteligência artificial que permite que computadores \""vejam\"" e interpretem imagens\"".",34,3
27533ins,Descreva as etapas para solucionar um problema de software.,18,3
27534ins,Explique como o aprendizado profundo está sendo usado para diagnosticar doenças.,25,3
27535ins,Forneça uma lista de ferramentas essenciais para o desenvolvimento web.,24,3
27536ins,Adivinhe a palavra com base nas pistas fornecidas.,17,3
27537ins,Descreva a coisa mais heróica que você já viu alguém fazer.,25,3
27538ins,Escreva uma história que tenha os seguintes personagens: um dragão mágico e um bravo cavaleiro.,35,3
27539ins,Exclua todas as linhas irrelevantes do código fornecido.,20,3
27540ins,Liste cinco animais nativos da Austrália.,16,3
27541ins,Faça uma lista de dez coisas que as pessoas devem considerar ao escolher um plano de saúde.,36,3
27542ins,Escreva um discurso introduzindo o conceito de automação.,20,3
27543ins,Faça uma lista de cinco técnicas de aprendizado profundo.,23,3
27544ins,Escreva dois fatos sobre a neutralidade da rede.,16,3
27545ins,Crie uma receita de tacos veganos usando os seguintes ingredientes:\n- 1 lata de feijão preto\n- 1 pimentão vermelho\n- 2 dentes de alho\n- 2 colheres de sopa de azeite de oliva\n- 1/2 colher de chá de pimenta em pó\n- 1 colher de chá de cominho\n- Sal e pimenta\n- 6 tortilhas de milho macias,116,3
27560ins,"Qual é a melhor definição para o termo \""habitat\""?",19,3
27561ins,Quais são os ingredientes de uma salada Cobb?,14,3
27562ins,Crie uma matriz com números de 0 a 10.,16,3
27563ins,Como um estado de equilíbrio aparece em um sistema termodinâmico fechado?,29,3
27564ins,Descreva um conceito em aprendizado de máquina.,17,3
27565ins,Treine um modelo para reconhecer dígitos escritos à mão.,20,3
27566ins,Analise o seguinte objeto JSON.,12,3
27567ins,Crie dois slogans de marketing para um produto de tecnologia focado em saúde.,23,3
27568ins,Encontre a obra de arte criada no século XV.,18,3
27569ins,"Classifique os seguintes animais em ordem, começando pelo menor e terminando com o maior.",29,3
27570ins,Descreva a importância da segmentação de clientes.,17,3
27571ins,Avalie o impacto da inteligência artificial na força de trabalho.,21,3
27572ins,Gere uma lista de perguntas para determinar a opinião do cliente sobre um produto.,27,3
27573ins,Descreva o conceito de choque cultural.,11,3
27574ins,Resuma os desafios e benefícios do uso de IA para automação de negócios.,27,3
27575ins,Escreva um parágrafo sobre um estudo recente envolvendo inteligência artificial.,26,3
27576ins,"Explique o que significa ter um \""estilo de vida saudável\""?",20,3
27577ins,Gere um novo orçamento para as seguintes despesas.,19,3
27578ins,Selecione três eventos relevantes das notícias.,18,3
27579ins,Crie uma história sobre uma família que adota um animal de estimação.,25,3
27580ins,"Dado alguns comentários, rotule cada um deles como positivo ou negativo.",27,3
27581ins,"Reorganize a frase a seguir de modo que ela tenha dez sílabas, com uma sílaba não acentuada seguida por uma sílaba acentuada.",53,3
27582ins,Escreva um poema sobre dependência química.,17,3
27583ins,"Dado um conjunto de fatos, faça um relatório estatístico.",22,3
27584ins,Compare e contraste dois artigos de notícias sobre o mesmo evento.,22,3
27585ins,Proponha uma solução para eliminar a trapaça nas escolas.,20,3
27586ins,Qual é a altitude máxima que um balão de ar quente pode atingir?,22,3
27587ins,Qual é o satélite mais natural da Terra?,12,3
27588ins,Qual é a convenção de nomenclatura para elementos na Tabela Periódica?,25,3
27589ins,Aprenda uma nova palavra e dê uma definição,19,3
27590ins,Que tipos de curiosidades você consegue pensar?,16,3
27591ins,Quais são as Sete Maravilhas do Mundo Antigo?,17,3
27592ins,Edite o texto a seguir reorganizando as frases.,16,3
27593ins,Conte-me três fatos interessantes sobre Marte.,18,3
27594ins,Gere uma lista de cinco ideias de projetos exclusivos.,20,3
27595ins,Classifique o exemplo a seguir como plágio ou não plágio.,23,3
27596ins,Gere uma lista de cinco direitos legais que os cidadãos de um país têm.,29,3
27597ins,Crie uma diretriz de estilo unificada para sua empresa,19,3
27598ins,Categorize cada um dos itens de acordo com seu tipo,18,3
27599ins,Gere uma mensagem romântica para um casal,16,3
27600ins,"Dada a string \""olá, como vai você?\"", remova a pontuação",23,3
27601ins,Que tipo de árvore George Washington cortou?,14,3
27602ins,Um amigo seu está pensando em tirar um ano sabático antes da faculdade. Escreva um pequeno parágrafo no qual você o incentiva a tirar o ano sabático.,55,3
27603ins,Escreva um e-mail para um cliente pedindo desculpas.,18,3
27604ins,Crie uma história sobre um personagem que está frustrado com seu trabalho.,26,3
27605ins,Crie um programa de exercícios em casa para iniciantes.,19,3
27606ins,Forneça uma lista de benefícios de uma dieta baseada em vegetais.,23,3
27607ins,Construa uma conversa entre um representante de atendimento ao cliente e um cliente que gostaria de comprar um produto.,36,3
27608ins,Crie uma história sobre uma pessoa que descobre um talento que não sabia que tinha.,30,3
27609ins,Compile uma lista de etapas para hospedar um evento online.,18,3
27610ins,Classifique a lista de palavras em ordem alfabética e separe-as por vírgulas.,28,3
27611ins,"Como você classificaria o seguinte animal como mamífero, réptil ou peixe?",30,3
27612ins,Some dois números e escreva a resposta em palavras.,19,3
27613ins,Crie um banco de dados para armazenar os registros dos alunos da escola XYZ.,26,3
27614ins,Identifique cinco valores potenciais para a Apple Inc.,16,3
27615ins,Analise os pontos fortes e fracos do atual sistema de saúde nos Estados Unidos.,29,3
27616ins,Dê-me uma lista de cinco problemas comuns no local de trabalho.,23,3
27617ins,Como funciona o sistema digestivo?,11,3
27618ins,Recupere o significado do termo saliência.,15,3
27619ins,"Reescreva a frase a seguir omitindo a palavra \""confortável\"".",25,3
27620ins,"Verdadeiro ou falso, carros autônomos são viáveis para rodovias.",26,3
27621ins,Crie uma frase sobre o futuro do transporte.,15,3
27622ins,Existe algum continente maior que a África?,16,3
27623ins,Componha duas ou três frases para elaborar a seguinte afirmação.,26,3
27624ins,Crie uma história original ambientada em uma paisagem urbana.,21,3
27625ins,Analise este texto e determine seu gênero.,15,3
27626ins,Quais são as vantagens e desvantagens de usar uma rede neural para tarefas de classificação?,33,3
27627ins,Liste os processos ou etapas necessárias para tingir tecidos usando corantes naturais,29,3
27628ins,"Gerar uma lista de palavras-chave para o tópico \""Engenharia Aeronáutica\""",30,3
27629ins,Escreva um esboço de personagem para um velho rabugento,19,3
27630ins,Categorize o seguinte item como uma função primária ou secundária de um smartphone,28,3
27631ins,Cite dois pares de cores complementares,10,3
27632ins,Liste as etapas necessárias para usar uma calculadora gráfica,22,3
27633ins,"Gere um apelido exclusivo para o nome \""John\"".",16,3
27634ins,Determine a base e a altura de um triângulo dada sua área.,23,3
27635ins,"Dada a seguinte lista de animais, determine a população média de cada espécie.",31,3
27636ins,Crie uma função que exiba todos os números primos de 1 a n.,24,3
27637ins,"Dada uma palavra, determine o número de vogais na palavra.",23,3
27638ins,"Dado um número, encontre os dois números primos que somados formam esse número.",32,3
27639ins,Crie um programa Python que imprima todos os números primos no intervalo fornecido.,26,3
27640ins,Crie um itinerário de férias que visite as três cidades a seguir.,26,3
27641ins,Liste 5 maneiras de reduzir o número de acidentes de carro.,24,3
27642ins,Forneça uma lista de componentes para um sistema de computador.,19,3
27643ins,Crie uma tabela de valor nutricional para o seguinte item alimentar.,23,3
27644ins,Desenvolva um plano para corrigir o bug com a mensagem de erro fornecida.,26,3
27645ins,Calcule a área e o perímetro da figura dada.,18,3
27646ins,Crie um loop for para a lista de itens fornecida,15,3
27647ins,Gere uma senha com pelo menos 15 caracteres e que contenha números e caracteres especiais.,35,3
27648ins,Encontre as instruções de montagem para criar o produto fornecido,24,3
27649ins,Reformate o texto fornecido de acordo com o guia de estilo fornecido,23,3
27650ins,Calcular os juros compostos sobre a quantia de dinheiro fornecida,20,3
27651ins,Liste 5 espécies comuns de bactérias.,15,3
27652ins,Descreva um exemplo de aplicação real da tecnologia fornecida.,22,3
27653ins,Faça um brainstorming de pelo menos 5 soluções possíveis para o problema em questão.,29,3
27654ins,Estime a temperatura da substância dada.,14,3
27655ins,Identifique 3 qualidades que um bom líder deve ter.,17,3
27656ins,"Mude a seguinte frase para o passado: \""Jim estuda física na faculdade\"".",27,3
27657ins,Crie uma equação matemática que mostre a relação entre a área de um quadrado e o tamanho de sua diagonal.,42,3
27658ins,Escreva uma nova frase que utilize uma metáfora ou uma analogia.,24,3
27659ins,"Reorganize as palavras para formar uma frase gramaticalmente correta: \""o aluno estava extremamente cansado na prova\"".",38,3
27660ins,"Escreva uma frase que contenha a expressão \""eliminar completamente\"" ou \""pôr fim a\"".",34,3
27676ins,Leia a frase a seguir e gere uma frase de saída revisada para tornar a frase mais simples e fácil de entender.,40,3
27677ins,"Desta vez, você recebe uma frase e uma tag pos correspondente. Para cada palavra da frase, dê um exemplo de uma palavra com a mesma tag pos.\nVocê deve fornecer pelo menos dois exemplos.",69,3
27678ins,"Dadas as informações a seguir, cite cinco tipos diferentes de instrumentos musicais.",30,3
27679ins,Gere um exemplo para um problema de classificação binária e também rótulos apropriados para a classificação.,40,3
27680ins,Gere um relatório comercial com um tom formal e apropriado para negócios.,24,3
27681ins,"Dada uma frase de entrada, escreva uma nova frase que seja gramaticalmente correta e transmita a mesma mensagem geral.",42,3
27682ins,Crie uma ideia única e interessante e que prenda a atenção para uma história infantil.,33,3
27683ins,Escreva um resumo persuasivo e que convença o leitor em 5 frases do seguinte artigo:,28,3
27684ins,Adicione detalhes à frase a seguir usando cinco adjetivos.,23,3
27685ins,Aprenda o texto a seguir e gere uma nova saída que tenha o mesmo significado da entrada.,32,3
27686ins,"Dada uma frase de entrada, gere uma frase de saída que seja 10 palavras mais longa que a de entrada e transmita o mesmo significado geral.",47,3
27687ins,Leia a frase a seguir e gere uma nova saída que reescreva a frase de outra maneira sem alterar o significado geral.,42,3
27688ins,"Com base nas informações a seguir, gere uma pergunta sobre o texto que exija uma resposta que não seja uma simples sim ou não.",48,3
27689ins,"Dado o texto, produza um resumo da história persuasivo e que convença o leitor em cinco frases.",32,3
27690ins,Quais são os benefícios ambientais do uso de fontes alternativas de energia?,24,3
27691ins,Qual é a diferença entre física quântica e física clássica?,25,3
27692ins,Cite três características de um filme de zumbi.,19,3
27693ins,"Em uma escala de 1 a 10, avalie a seguinte música.",22,3
27694ins,Identifique o uso de sons específicos no seguinte clipe de filme.,25,3
27695ins,Conte uma história sobre um incêndio.,15,3
27696ins,Desenvolva as seguintes ideias em uma história curta.,20,3
27697ins,Escreva um artigo de 100 palavras discutindo os efeitos do estresse na saúde física.,32,3
27698ins,Crie um layout de página web adequado para uma biblioteca on-line.,23,3
27699ins,Gere um código HTML válido para uma página da web com uma tabela.,27,3
27700ins,Escreva uma sinopse do texto fornecido.,15,3
27701ins,Use a busca heurística para encontrar o caminho que o PacMan deve percorrer para chegar ao nó final.,35,3
27702ins,Converta os seguintes dólares australianos (AUD) em dólares americanos (USD).,29,3
