ID,ORIGINAL,TOTAL_TOKENS
9392out,"Os sete mares do mundo são: Mar do Norte, Mar Báltico, Mar Mediterrâneo, Mar Negro, Mar da Arábia, Mar da China Meridional e Mar do Caribe.",54
9596out,"- Leopardo de Amur
- Tartarugas marinhas
- Elefante africano
- Abutre de garupa branca
- Rinoceronte negro",45
9855out,Eu irei à loja.,11
10017out,Esta frase é informal.,10
10061out,A poluição do ar na cidade está piorando.,20
10120out,"animal, cachorro, Labrador, Fido, ama",17
10160out,"Um buraco negro pode ser comparado a uma pessoa com um apetite enorme. Não importa o que você coloque na frente deles, eles consumirão tudo, nunca se fartando e ficando cada vez mais famintos. À medida que mais e mais massa é adicionada a um buraco negro, sua atração gravitacional fica mais forte, assim como quanto mais um glutão consome, mais faminto ele fica.",132
10460out,"As três cores primárias são vermelho, azul e amarelo.",25
10470out,"Havia dois irmãos, Mary e Richard, que tinham acabado de se mudar para uma nova cidade. Um dia, enquanto exploravam a floresta perto de sua casa, descobriram um objeto misterioso. Era uma pequena caixa feita de metal e coberta de runas estranhas. Quando abriram a caixa, descobriram um colar dentro. Depois de olharem mais de perto, perceberam que se tratava de um colar mágico, com poder de realizar desejos. Mas logo descobriram que o colar também tinha um lado negro - ele realizaria qualquer desejo, a um alto custo.",191
10474out,Ele está escrevendo uma carta.,14
10476out,Sentença interrogativa.,10
10583out,A capital da França é Paris.,11
10589out,Por que a galinha atravessou o parquinho? Para chegar ao outro slide!,29
10728out,"O foguete espacial era um pilar branco e brilhante de poder e energia, apontando diretamente para o céu noturno negro. Ele estava cercado por um brilho dourado das chamas brilhantes que saíam de cada um de seus motores enquanto ele lentamente saía da plataforma de lançamento e subia para o céu. O chão tremeu com um rugido estrondoso enquanto o foguete se afastava, subindo cada vez mais alto enquanto disparava para o espaço.",153
10849out,"Começando com um aquecimento, os exercícios de alongamento ajudam a relaxar os músculos antes do treino. Adicionar uma rotina intensa de exercícios à sua programação também ajuda a melhorar sua saúde e bem-estar geral.",86
11009out,"O que tem quatro patas mas não anda?
Uma cadeira!",23
11064out,Agência de Inteligência Central,14
11146out,Eu sou seu estudante.,12
11259out,Sentimento negativo.,10
11386out,Um amigo na necessidade é um amigo de verdade.,19
11502out,Sentença declarativa.,10
11701out,O cachorro latiu.,11
11822out,"1. Tenda
2. Saco de dormir
3. Lanterna
4. Fogão de acampamento
5. Partidas",35
11887out,"Este estudo analisou como o calor afeta a resistência da borracha usada em pneus de caminhões. Examinamos os efeitos das temperaturas de cura de 25°C a 120°C na borracha do pneu, que foi misturada com negro de fumo, sílica e óxido de zinco. Descobrimos que quanto maior a temperatura de cura, mais “forte” a borracha se torna.",133
11911out,O volume do cubo é 64 cm3.,13
12169out,Sentimento negativo.,10
12370out,"Malcolm X (19 de maio de 1925 - 21 de fevereiro de 1965), nascido Malcolm Little e mais tarde também conhecido como El-Hajj Malik El-Shabazz, foi um ministro muçulmano afro-americano e ativista dos direitos humanos. Desde então, alguns de seus ideais e ensinamentos inspiraram muitos movimentos em todo o mundo. Ele é mais conhecido pelas suas opiniões controversas sobre o nacionalismo negro e os direitos civis, que eram frequentemente aplicáveis ​​a outras questões raciais e socioeconómicas.",181
12415out,"Maçã, queijo mussarela, caminhão",19
12455out,Forrest Gump,7
12456out,Willian Shakespeare,6
12476out,Nome comum.,8
12607out,Recentemente assisti ao filme O Dia Chegará. É uma hilária comédia de humor negro que segue um infeliz aspirante a revolucionário que é recrutado por um agente do FBI para encenar um ataque. É estrelado por Anna Kendrick e apresenta performances incríveis de alguns dos atores cômicos mais talentosos da atualidade.,105
12712out,<Sem saída>,9
12757out,A sentença é uma sentença declarativa.,17
12897out,Uma maçã por dia mantém o médico longe.,23
12999out,"Texto 1: As pétalas de rosa gigantes flutuavam na brisa. 
Texto 2: As pétalas do girassol balançavam ao vento.",51
13067out,A avaliação é negativa.,13
13090out,A sentença é uma sentença declarativa.,17
13102out,Ele está pronto para começar a trabalhar.,17
13112out,Ela está indo para a loja.,13
13310out,A ligeira raposa marrom saltou sobre o cão preguiçoso.,23
13625out,O céu é azul.,11
14036out,"Stephen Hawking (1942-2018) foi um cientista britânico e especialista em cosmologia e física teórica, mais conhecido por escrever o livro Uma Breve História do Tempo e por sua pesquisa pioneira sobre buracos negros e mecânica quântica. Ele nasceu em Oxford em 1942.",99
14133out,"Yoda e Darth Vader são personagens muito diferentes. Yoda é um pequeno, sábio e benevolente Mestre Jedi, enquanto Darth Vader é um poderoso Lorde Sith e um servo do lado negro da Força. Yoda é um mestre da diplomacia e da razão, enquanto os métodos de Darth Vader são limitados pelo medo, pela coerção e pela coerção. Yoda se concentra no autoaperfeiçoamento, enquanto Darth Vader se concentra apenas em cumprir a vontade de seu mestre sombrio. Além disso, os métodos de Yoda são compassivos e pacíficos, enquanto os de Darth Vader são implacáveis ​​e violentos.",201
14326out,Um ponto no tempo salva nove.,13
14523out,Devemos reservar um tempo para apreciar o que nos rodeia.,20
14671out,Ele falou alto.,9
14791out,"fofo, adorável, lindo",16
15057out,"SELECIONE *FROM Clientes ONDE País=""EUA"";",21
15059out,Eu sou um estudante.,11
15120out,John foi ansiosamente à loja.,14
15184out,"imprimir(""Olá mundo"")",12
15332out,Sentimento negativo.,10
15600out,Olá Mundo,7
15647out,"Três espécies animais que estão ameaçadas devido à atividade humana são o rinoceronte negro, a baleia azul e o elefante africano.",51
15995out,Porque eles compõem tudo!,15
16086out,Sentença interrogativa.,11
16087out,O vendedor foi muito pouco profissional.,20
16141out,Sentença declarativa.,10
16162out,O cachorro latiu.,11
16283out,Esta é uma frase declarativa.,14
16301out,Michelle Obama,5
16528out,Eu li o livro.,10
16885out,"Os habitantes da cidade eram supersticiosos com os corvos negros que circulavam em torno de suas casas. Com o passar dos dias, seus medos só foram validados quando estranhas ocorrências começaram. Ninguém sabia o que os causou, mas alguns culparam os pássaros misteriosos e rapidamente perceberam a horrível verdade de que os corvos haviam sido amaldiçoados por espíritos malignos.",137
16934out,"Japão, Índia",11
17015out,Sentimento negativo.,10
17041out,"imprimir(""Olá mundo"")",12
17061out,Sentimento negativo,10
17130out,x + y > 5,8
17181out,"1. Maçã: $ 399
2.Samsung: $ 499
3.LG: $ 599",26
17296out,O filme foi terrível.,12
17379out,"A tendência identificada neste artigo é o número crescente de negros americanos que procuram educação médica, especialmente à luz dos efeitos desproporcionais da pandemia da COVID-19 nas suas comunidades.",77
17500out,Sentimento positivo.,9
17619out,Sentimento positivo.,9
17678out,2 e 12,6
17764out,"Um buraco negro é uma região incrivelmente densa do espaço, criada quando uma estrela entra em colapso devido à sua própria gravidade. Como a estrela é tão densa, nada consegue escapar dela, nem mesmo a luz, e é por isso que ela cria um “buraco negro” no espaço. A gravidade dentro de um buraco negro é tão forte que qualquer coisa perto dele, incluindo estrelas, planetas e até galáxias inteiras, é puxada e eventualmente consumida.",167
18010out,"Smith, J. (2020). O futuro da IA. Revista AI, 21(2), 45–50.",28
18130out,Sentimento: Positivo,10
18172out,Voz passiva,7
18237out,O triângulo é um triângulo retângulo.,19
18308out,"Um quadro-negro, mesas, cadeiras, livros e um apontador de lápis.",31
18335out,Positivo negativo,9
18468out,"- Maçãs
- Bananas
- Laranjas
- Uvas
- Morangos",26
18742out,Toronto e Vancouver,6
18985out,"Bolsa, sapatos, camisa",13
19044out,"Maçã, Banana, Laranja",12
19109out,Estou cansado.,8
19199out,Harry Potter,5
19270out,"Os cientistas fazem uso de diversas observações para estudar o universo, como catalogar estrelas e outros objetos celestes, medir a radiação e estudar a química do gás e da poeira intergalácticos. Outras observações incluem a busca de planetas ao redor de outras estrelas, a procura de evidências de buracos negros e o uso de radiotelescópios para procurar sinais de possíveis civilizações extraterrestres.",154
19303out,Frase imperativa.,9
19456out,Das Alterações Climáticas.,16
19498out,Processamento de linguagem natural,11
19538out,O rato foi perseguido pelo gato.,17
19671out,Olá! Como posso ajudá-lo?,16
19711out,O Rei Leão (1994),10
20079out,A sentença é uma sentença declarativa.,17
20439out,"Um buraco negro é uma região extremamente densa do espaço com intensa atração gravitacional. É formado por uma estrela em colapso que se tornou tão densamente compactada que nada, nem mesmo a luz, consegue escapar à sua poderosa força gravitacional. É caracterizado por uma singularidade em seu núcleo, uma fronteira invisível conhecida como horizonte de eventos e um disco de acreção circundando o horizonte de eventos. Os buracos negros são frequentemente associados aos monstros supermassivos que existem no centro de muitas galáxias.",179
20769out,Um ponto no tempo salva nove.,13
20796out,Bom dia! Tenha um ótimo dia!,18
21198out,Este é um exemplo da tarefa.,14
21208out,Willian Shakespeare,6
21583out,Estou ansioso para ouvir de você em breve.,19
21590out,"Computador, Rápido, Pesquisa",15
21707out,Frase completa.,8
21762out,"As três cores primárias são vermelho, azul e amarelo.",25
21863out,"Desculpe, a tarefa requer uma saída visual que não pode ser gerada pelo modelo.",32
21868out,"Desculpe, a tarefa requer uma saída visual que não pode ser gerada pelo modelo.",32
21907out,"Judy: Cientista
David: Músico
Bob: CEO",20
21930out,Porque eles inventam tudo!,13
22253out,"print(""Olá mundo!"")",11
22292out,A inclinação da linha é 2.,14
22523out,Ele foi à loja comprar mantimentos.,15
22571out,O sol brilhava intensamente.,13
22899out,"""Se na primeira vez você não conseguir, tente, tente novamente.""",29
22939out,"- 1895: Teoria da Relatividade Especial 
- 1905: Efeito Fotoelétrico, Equivalência Massa-Energia
- 1911: Explicação do Movimento Browniano 
- 1915: Teoria Geral da Relatividade 
- 1916: Explicação matemática dos buracos negros
- 1920: Teoria do campo unificado
- 1923: estatísticas de Bose-Einstein",115
23199out,"O que tem quatro patas mas não anda?
Uma cadeira!",23
23250out,O céu era um manto de estrelas.,16
23575out,O triângulo é um triângulo obtuso.,19
23583out,"""""""
Crie um modelo de aprendizado de máquina para prever o IMC (Índice de Massa Corporal) usando temperatura e altura de pessoas em uma determinada população
""""""

importar pandas como pd
importar numpy como np
de sklearn.model_selection importar train_test_split
de sklearn.linear_model importar LinearRegression

#Carrega os dados
dados = pd.read_csv('temperatura_altura_dados.csv')

# Dividir em características (temperatura e altura) e rótulo (IMC)
X = dados.iloc[:, :2]
y = dados.iloc[:, 2]

# Dividir em conjuntos de treinamento e teste
X_train, X_test, y_train, y_test = train_test_split(X, y, test_size = 0,2, random_state = 0)

# Treine o modelo
regressor = LinearRegression()
regressor.fit(X_train, y_train)

# Fazer previsões
y_pred = regressor.predict(X_test)

# Avaliar previsões
pontuação = regressor.score(X_test, y_test)
print('Pontuação R-quadrado:', pontuação)",357
23676out,A avaliação é negativa.,13
23787out,'Olá Mundo!',9
24062out,Ela está indo para a loja.,14
24164out,"A Guerra Civil Americana começou em 1861 e terminou em 1865. Durante este período, numerosos eventos moldaram a guerra e influenciaram o seu resultado. Esses eventos podem ser classificados em diversas categorias. Os eventos políticos incluem os debates Lincoln-Douglas, a eleição de Abraham Lincoln e a secessão dos estados do Sul. Os eventos militares incluem a Batalha de Antietam, a Batalha de Gettysburg e a Batalha de Vicksburg. Os eventos sociais incluem a Proclamação de Emancipação, o alistamento de soldados negros no Exército da União e a adoção do recrutamento. Os esforços diplomáticos incluem as negociações do presidente Lincoln com a Grã-Bretanha e a França, o apelo de Lincoln à paz vindo do Sul e o apelo do presidente confederado Jefferson Davis ao público para o reconhecimento da Confederação.",271
24181out,Estou cansado.,8
24266out,"O primeiro capítulo de To Kill a Mockingbird apresenta a protagonista, Scout Finch, e seu irmão, Jem. É ambientado no condado de Maycomb, Alabama, durante a Grande Depressão. O capítulo revela o relacionamento de Scout com seu pai Atticus e sua governanta Calpurnia, bem como seu conhecimento geral sobre o racismo na área. A narradora relembra sua infância e relembra a metáfora do mockingbird que tem sido usada para se referir a pessoas inocentes. O capítulo também aborda a educação peculiar de Scout e sua compreensão de sua comunidade. Ficamos sabendo que Scout e Jem estão sob os cuidados de seu pai, que recentemente concordou em assumir o caso de Tom Robinson, um homem negro acusado. Vemos também a presença de Boo Radley, o estranho e misterioso vizinho que patrulha o bairro à noite.",277
24495out,Ele era tão corajoso quanto um leão.,16
24563out,Aprendizado de máquina,13
24626out,Sentimento negativo,9
24694out,Esta afirmação é uma opinião.,17
24848out,Esta é uma frase declarativa.,14
25319out,2 e 12,6
25534out,"console.log(""Olá Mundo!"");",13
25543out,Sentença interrogativa.,10
25789out,"A missão de resgate no espaço tinha um objetivo: encontrar e trazer de volta uma tripulação de astronautas que havia sido enviada em missão para explorar uma região misteriosa do espaço. Após semanas de busca, a tripulação finalmente conseguiu localizar os astronautas presos. 

A missão de resgate não foi tarefa fácil. A tripulação teve que enfrentar perigosos campos de asteróides, buracos negros traiçoeiros e o frio implacável do espaço profundo. Mesmo os pilotos mais experientes tiveram dificuldade em controlar a sua nave espacial nestas condições hostis. 

A missão foi um sucesso – a equipe de resgate conseguiu localizar os astronautas presos e trazê-los de volta à Terra em segurança. Seguiu-se uma grande celebração e os astronautas resgatados foram aclamados como heróis. Foi um momento triunfante e brilhante de vitória para a missão de resgate e uma recompensa pela sua coragem face ao perigo.",330
25821out,Sentimento negativo,9
25934out,Lamento ouvir isso. Há algo que eu possa fazer para ajudar?,28
26041out,O sentimento da frase é positivo.,13
26050out,Estou muito feliz.,11
26289out,"Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano, Netuno",30
26315out,Sentença declarativa.,10
26506out,"Três espécies de animais ameaçadas de extinção são a salamandra gigante chinesa, o gorila da montanha e o rinoceronte negro.",49
26794out,Sentimento positivo,8
26855out,"Maçã, Banana, Uvas",11
26862out,Qual é a capital da França?,12
26938out,Sentimento negativo.,10
27005out,Sentença declarativa.,10
27121out,Nome comum.,8
27154out,"maçã, banana, laranja",12
27174out,O sentimento da frase é positivo.,13
27353out,"Afluente - Rico, Repugnante - Detestável",18
27422out,"Minha cor favorita é (A) vermelho, (B) roxo, (C) amarelo.",30
27425out,"Moro nos Estados Unidos da América, mas sou originário do Canadá.",25
27441out,Sentimento positivo,8
27444out,Branca de Neve,8
27695out,"Tudo começou com uma faísca. Tudo começou pequeno, nada mais do que o sussurro de um fósforo aceso. Mas o vento estava forte naquele dia e aquela faísca cresceu, viajando por toda parte. As pessoas começaram a notar a fumaça ao longe, cobrindo o céu com um sinistro manto negro. 

À medida que o fogo se espalhava, as pessoas se dispersavam e os animais escapavam o mais rápido que podiam. Infelizmente, nem todos conseguiram escapar a tempo. Bombeiros, policiais e voluntários da comunidade se uniram em um esforço para conter o incêndio e proteger a vida das pessoas em seu caminho. Eles lutaram bravamente e, eventualmente, o fogo foi dominado. 

Os danos, no entanto, foram muito mais extensos do que se imaginava. Casas, empresas e memórias viraram fumaça.  Mas no meio da destruição e do desespero, uma coisa permaneceu constante: a resiliência do espírito humano. Pessoas de todas as origens e idades uniram-se para reconstruir, começando das cinzas como a fênix de antigamente. Eles mostraram que nada, nem mesmo um fogo crepitante, pode extinguir a vontade do coração humano.",427
27737out,O gato foi perseguido pelo cachorro.,19
27962out,Esta frase é uma pergunta.,15
28828out,"A teoria da relatividade de Einstein é uma das teorias mais importantes da física moderna. Revolucionou nossa compreensão do espaço e do tempo e introduziu uma nova visão do universo. Explica como funciona a gravidade, como o espaço e o tempo estão interligados e fornece a base para a compreensão de fenómenos como buracos negros e outros eventos exóticos. A relatividade também previu a expansão do universo e lançou as bases para a cosmologia moderna.",157
28842out,"Malcolm X foi um influente líder nacionalista negro que se dedicou a lutar pelos direitos civis e a defender melhores oportunidades para os afro-americanos. Ele ganhou destaque como ministro na Nação do Islã e adotou uma postura mais radical mais tarde em sua vida, altamente crítico do movimento dominante pelos direitos civis.",116
28912out,"TV a cabo: $ 49,95, Modem a cabo: $ 25,49, Cabo HDMI: $ 17,99",32
28955out,Esta é uma frase declarativa.,14
29161out,A rápida raposa marrom salta sobre o cachorro preguiçoso.,26
29175out,Ela está indo para a loja.,13
29296out,Eu vou para a loja.,11
29575out,"Gorilas, tigres, elefantes africanos, rinocerontes negros, gorilas da montanha, tartarugas-de-couro, leopardos da neve, orangotangos, pangolins, rinocerontes brancos do norte e vaquitas.",82
29591out,"Verso 1:
Toda noite eu fico acordado
E conte as estrelas no céu
Esperando que algum dia eu te encontre
E descubra por que me sinto tão vivo

Coro:
O tempo continua passando
Mas minha saudade não morre
Um amor tão forte, tão difícil de encontrar
Estou procurando por você o tempo todo

Versículo 2:
E quando estou perdido no escuro
Meus pensamentos se voltam para o nosso passado
Sua beleza como o sol da manhã
Seu toque gentil, meu único

Coro:
O tempo continua passando
Mas minha saudade não morre
Um amor tão forte, tão difícil de encontrar
Estou procurando por você o tempo todo

Ponte:
E quando o sol se põe no oeste
E as estrelas entram para ver
Vou fechar meus olhos, sonhar com você
E o amor que parece tão verdadeiro

Coro:
O tempo continua passando
Mas minha saudade não morre
Um amor tão forte, tão difícil de encontrar
Estou procurando por você o tempo todo",348
29807out,Ele foi à loja comprar mantimentos.,15
29942out,O volume do cubo é 64 cm3.,13
30033out,Nelson Mandela,6
30034out,Tom Cruise,5
30063out,Qual é a cor do céu?,12
30173out,Sentença declarativa.,10
30309out,William Shakespeare,5
30366out,"""O sucesso não é definitivo, o fracasso não é fatal: o que conta é a coragem de continuar."" - Winston Churchill",40
30367out,Vicente Van Gogh,9
30768out,"<html>
<cabeçalho>
</cabeçalho>
<corpo>
</corpo>
</html>",36
30846out,"1. ""O lado negro das mídias sociais: o impacto das mídias sociais na saúde mental"", do professor Rami Yacoub.
2. ""Impacto negativo do uso da mídia social: uma revisão da literatura"", do Dr. Sanju Kanwar e Shveta Rajpal.
3. ""Mídia social e seu impacto na vida das pessoas"", da Dra. Priya Agrawal.",122
30911out,"Cinco espécies ameaçadas de extinção são o rinoceronte negro, o gorila da montanha, o wombat de nariz peludo do norte, o pau-rosa de Madagascar e a tartaruga-de-pente.",67
31284out,"“O sucesso não é definitivo, o fracasso não é fatal: é a coragem de continuar que conta.” -Winston Churchill",43
31398out,<sem saída>,9
31422out,"Um buraco negro é como um poço sem fundo, com uma força gravitacional tão forte que nem mesmo a luz consegue escapar de seu alcance.",51
31426out,SELECT * FROM nome_tabela;,12
31475out,"“Precisamos descobrir uma maneira de resolver este problema”, disse John.

“Vai ser difícil”, respondeu Sarah. ""É uma questão complexa e teremos que analisá-la de todos os ângulos para encontrar uma solução.""

“Bem, vamos começar dividindo o problema em partes menores e analisando cada uma delas separadamente”, sugeriu John.

""Boa ideia"", Sarah concordou. ""Podemos então analisar os componentes individuais e encontrar soluções para cada um deles.""",178
31527out,A rápida raposa marrom salta sobre o cachorro preguiçoso,25
31711out,Ele abriu a porta.,11
31724out,Alan Turing,5
31822out,Hoje é sexta-feira.,14
32236out,Sentimento positivo.,9
32285out,O esquema de rima do poema é AABB.,18
32339out,"Os personagens de To Kill a Mockingbird incluem Atticus Finch, um advogado e pai sábio e compassivo; Jem, filho de Atticus, que começa a compreender as complexidades do mundo ao seu redor; Scout, filha pequena de Atticus, que vive muitas aventuras; Boo Radley, um vizinho misterioso; e vários outros personagens da cidade de Maycomb. A história gira em torno da defesa de Atticus de um homem negro falsamente acusado e como seus filhos são afetados pelos acontecimentos do julgamento.",169
32405out,Por que a galinha atravessou o parquinho? Para chegar ao outro slide!,29
32588out,Esta é uma questão.,11
32645out,Bom dia! Tenha um ótimo dia!,18
32646out,Esta noite irei dar um passeio no parque.,19
32783out,Um ponto no tempo salva nove.,13
32997out,"console.log(""Olá mundo!"");",13
33032out,A rápida raposa marrom salta sobre o cachorro preguiçoso.,26
33137out,"""""""
Crie um classificador Random Forest para prever o sentimento de uma determinada frase
""""""

de sklearn.ensemble importar RandomForestClassifier
importar numpy como np 

# cria a entrada para o classificador: 
sentença = np.array([[1,0,0,0,1]]) # representa a sentença como um vetor de uns e zeros, sendo 1 positivo e 0 negativo 

#define o rótulo 
label = np.array([1]) # 1 sendo positivo e 0 sendo negativo 

#criar e treinar o classificador Random Forest 
clf = RandomForestClassifier() 
clf.fit(frase, rótulo) 

#teste o classificador 
test_sentence = 'A comida aqui é realmente incrível.'
test_sentence_vector = np.array([[1,0,0,0,1]]) 
previsão = clf.predict(test_sentence_vector) 

# gera a previsão do sentimento 
print(predição) # saída: 1 (sentimento positivo)",299
33140out,"""""""
Divida 887 por 3 usando Python
""""""

resultado = 887/3
imprimir (resultado) # Saída: 295.6666666666667",44
33472out,"""Google e Apple se unem para revelar um aplicativo revolucionário""",25
33594out,Está chovendo muito.,12
33737out,"1. Os buracos negros são regiões do espaço com uma atração gravitacional tão forte que nem mesmo a luz consegue escapar deles.
2. Eles são frequentemente formados quando uma grande estrela morre e colapsa sobre si mesma devido ao seu imenso campo gravitacional.
3. Um único buraco negro pode conter a massa de milhões ou mesmo bilhões de estrelas.",140
33883out,"1. Barraca
2. Saco de dormir
3. Lanterna
4. Fogão de acampamento
5. Fósforos",39
34094out,Sentimento positivo,8
34385out,"Roxo, azul, amarelo, vermelho",17
34425out,"Misture os ingredientes, pré-aqueça o forno, asse o bolo, decore o bolo",29
34587out,"print(""Olá mundo!"")",11
34755out,O cachorro latiu.,11
34792out,O Rei Leão (1994),10
34917out,“Explorando o lado negro do consumo de bebidas alcoólicas pelos adolescentes – um aviso terrível para os pais.”,42
35076out,Ela comeu uma maçã.,13
35117out,<nooutput> – Os visuais não podem ser criados por um modelo de linguagem.,29
35123out,<nooutput> – Os visuais não podem ser criados por um modelo de linguagem.,29
35336out,Triângulo retângulo.,12
35472out,Hoje é sexta-feira.,14
35482out,y = mx + b,9
35535out,"cedro, beija-flor, onça, carvalho",18
35544out,Sentimento positivo,8
35712out,"- Buraco Negro Estelar 
- Buraco negro supermassivo 
- Buraco Negro de Massa Intermediária 
- Buraco negro recuando
- Buraco Negro Primordial",47
35785out,"Olá, como vai?",11
36176out,A raiz quadrada de 64 é 8.,14
36582out,A rápida raposa marrom salta sobre o cachorro preguiçoso,25
36757out,Frase imperativa.,9
36862out,Sinto muito por ouvir isso. Há algo que eu possa fazer para ajudar?,32
36941out,Ele/Ela está indo para a loja.,15
37016out,<sem saída>,9
37117out,Sentença interrogativa.,10
37290out,Sentimento positivo.,9
37431out,O rato foi perseguido pelo gato.,17
37462out,Ele está indo para a loja.,12
37614out,O sentimento da frase é negativo.,14
37671out,"imprimir(""Olá mundo"")",12
37878out,"João – Editor de Vídeo 
Tina – Gerente de Mídias Sociais
Alice – Desenvolvedora Web",36
37982out,A capital da Índia é Nova Déli.,17
38043out,Esta é uma frase declarativa.,14
38052out,"Olá, como vai?",11
38072out,Eu fui à loja.,11
38075out,Eu fui à loja.,11
38252out,iPhone 11.,6
38344out,"Mesa, quadro-negro, livros.",15
38432out,John foi ansiosamente à loja.,14
38507out,Sinto muito por ouvir isso. Há algo que eu possa fazer para ajudar?,31
38895out,Crie um GIF em loop de um gato correndo.,17
38920out,A área do triângulo é 6 cm^2.,18
39028out,Eu sou seu estudante.,12
39095out,Qual é a capital da França?,12
39114out,Sentimento negativo.,10
39179out,Al + O2 → Al2O3,12
39437out,"<html>
  <cabeça>
  </head>
  <corpo>
  </body>
</html>",33
39491out,<sem saída>,9
39509out,Falso. O sol nasce no leste.,14
39563out,"Um buraco negro é criado quando uma estrela muito massiva fica sem combustível nuclear e o seu núcleo já não consegue resistir à gravidade estelar. O núcleo colapsa para dentro numa reação em cadeia que ricocheteia para fora, empurrando as camadas exteriores da estrela para o espaço numa explosão de supernova. Eventualmente, o núcleo para de entrar em colapso, comprimindo-se em um único ponto de raio infinitamente pequeno e densidade infinitamente grande, conhecido como singularidade. Isto cria um campo gravitacional extremamente poderoso do qual nada, nem mesmo a luz, pode escapar, dando origem à sua distinta silhueta escura.",230
40147out,Falso. O sol nasce no leste.,14
40259out,Sentença declarativa.,10
40290out,Esta frase descreve uma ação.,15
40458out,Esta é uma questão.,11
40612out,Olá! Como posso ajudá-lo?,16
40757out,"- Albert Einstein: Teoria da relatividade
- Marie Curie: Radioatividade 
- Isaac Newton: Leis do movimento, gravitação universal 
- Charles Darwin: Teoria da evolução 
- Galileo Galilei: astronomia telescópica, cinemática 
- Stephen Hawking: teoria do buraco negro, singularidade espaço-tempo 
- Alan Turing: Máquina de Turing, programação de computadores 
- Linus Pauling: Ligações químicas, estrutura molecular",141
40768out,Pode me ajudar?,10
40915out,Esta é uma frase declarativa.,14
41216out,Ele correu para a loja.,12
41291out,Sentença interrogativa.,10
41405out,"As Vinhas da Ira, Para Matar um Mockingbird, Homem Invisível, 1984",27
41589out,Taylor Swift,5
41605out,Sentimento positivo.,9
41733out,"""""""
Crie uma rede neural Multilayer Perceptron (MLP) com três entradas e uma saída.
""""""

importar Keras
de importação sequencial de keras.models
de keras.layers importar Denso

#define o modelo
modelo = Sequencial()
model.add(Dense(12, input_dim=3, ativação='relu'))
model.add(Dense(1, ativação='sigmóide'))

#compila o modelo
model.compile(loss='binary_crossentropy', otimizador='adam', métricas=['accuracy'])

# resumir o modelo
modelo.resumo()",185
41772out,Decidi dar uma caminhada porque o tempo estava agradável.,24
41842out,Frase imperativa.,9
41903out,A área do retângulo é 50 cm2.,17
41951out,"Astronauta, foguete, buraco negro, satélite, cratera.",23
42297out,"Um buraco negro é uma área no espaço tão poderosa e densa que nem mesmo a luz consegue escapar de sua atração. Os buracos negros são como o oposto das estrelas – em vez de emitirem luz, absorvem tudo, até mesmo a luz. Os cientistas sabem que os buracos negros existem porque podem ver a forma como afectam as estrelas e outras matérias ao seu redor. É como um vácuo gigante que suga e prende qualquer coisa próxima, como um gigantesco poço sem fundo no espaço.",181
42372out,Ele/Ela está indo para a loja.,15
42418out,Estados Unidos,8
42448out,Ele está indo para a loja.,12
42534out,Por que os cientistas não confiam nos átomos? Porque eles compõem tudo!,31
42562out,Agência de Inteligência Central,14
42582out,Eu irei até a loja.,13
42817out,Sentença declarativa,9
42883out,"Você pode encontrar um artigo que critica a impressão 3D, como ""O lado negro da impressão 3D: ar respirável, mudanças climáticas e poluição"" do The Guardian.",59
42955out,Como você chama um urso sem dentes? Um ursinho de goma!,24
43086out,"Mãe - Enfermeira 
Pai - Professor 
Irmã - Estudante",26
43133out,O sentimento da frase é positivo.,13
43375out,Sentença declarativa,9
43524out,Esta é a melhor maneira de fazer isso.,18
43558out,Uma pedra que rola não junta musgo.,17
43595out,Compare esses dois itens.,11
43728out,João Smith,6
43788out,Qual é o pico mais alto do mundo?,16
43916out,Buenos dias.,8
44175out,"A principal diferença entre ondas eletromagnéticas e gravitacionais é a sua origem. Ondas eletromagnéticas, como a luz, são geradas por campos elétricos e magnéticos. As ondas gravitacionais são geradas pela aceleração da massa, como quando dois buracos negros colidem. As ondas eletromagnéticas viajam à velocidade da luz, enquanto as ondas gravitacionais viajam à velocidade da gravidade. As ondas eletromagnéticas podem ser refletidas, refratadas ou absorvidas, enquanto as ondas gravitacionais só podem ser absorvidas.",194
44202out,Taylor Swift,5
44210out,y = mx + b,9
44335out,Sentimento negativo.,10
44384out,A rápida raposa marrom salta sobre o cachorro preguiçoso.,26
44510out,Sentimento positivo.,9
44528out,"Esta é uma cidade pequena, pacífica e bonita.",23
44591out,"P: O que o peixe disse quando bateu na parede?
R: Droga!",29
44630out,"imprimir(""Olá mundo"")",12
45152out,Qual é a capital da França?,11
45164out,"Os buracos negros têm um impacto significativo na evolução das galáxias. Eles engolem gás e poeira próximos, suprimindo assim a formação de estrelas nas regiões circundantes. Isto pode levar ao encerramento da formação estelar numa galáxia, alterando assim a sua evolução e aparência. Além disso, os buracos negros também ajudam a regular o crescimento de uma galáxia, limitando a quantidade de material disponível para formar estrelas.",172
45553out,"Itália, França, Alemanha, Espanha, Polónia",21
45708out,Ela foi até a loja.,13
