ID,PT,TOTAL_TOKENS
39509out,Falso. O sol nasce no leste.,14
39534inp,Energia solar,8
39636inp,Tecnologia de reconhecimento de voz,18
39638inp,"Berlim, Alemanha",10
39667inp,Programas: Adobe Photoshop,9
39935inp,O crescimento rápido da inteligência artificial,21
40027inp,"Maçã, laranja, banana",13
40147out,Falso. O sol nasce no leste.,14
40259out,Sentença declarativa.,10
40290out,Esta frase descreve uma ação.,15
40298inp,"nan}] json [ { """,11
40355inp,O Regresso,7
40458out,Esta é uma questão.,11
40489inp,A Ronda Noturna de Rembrandt,14
40507inp,Produto A e Produto B,13
40557inp,<sem entrada>,9
40575inp,A pessoa que exerce a função de padrinho,20
40612out,Olá! Como posso ajudá-lo?,16
40649inp,das Alterações Climáticas,16
40656inp,iPhone 12,6
40756inp,Tópico: Exploração Espacial,15
40768out,Pode me ajudar?,10
40781inp,Simulação de inteligência humana em máquinas,21
40869inp,Arábia Saudita,9
40915out,Esta é uma frase declarativa.,14
40920inp,iPhone 11,6
40947inp,Grande Canyon,7
41123inp,"123 Main Street, Anytown, EUA",13
41185inp,Apple Inc.,7
41216out,Ele foi rapidamente para a loja.,14
41291out,Sentença interrogativa.,10
4134inp,"Princípio - Uma verdade, teoria ou regra básica\n\nAxioma – Uma verdade evidente\n\nTeorema - Uma afirmação ou proposição que é provada ou demonstrada",68
4134out,"Princípio - Uma verdade, teoria ou regra básica\n\nAxioma – Uma verdade evidente\n\nTeorema - Uma afirmação ou proposição que é provada ou demonstrada",67
4135inp,Computação através da internet ou de servidores remotos,22
41405out,"As Vinhas da Ira, Para Matar um Mockingbird, Homem Invisível, 1984",27
4153out,A inclinação da linha é 2.,14
41589out,Taylor Swift,5
41605out,Sentimento positivo.,9
41733out,"""""""""\nCrie um modelo computacional Multilayer Perceptron (MLP) com três entradas e uma saída.\n""""""\n\nimportar Keras\nde importação sequencial de keras.models\nde keras.layers importar Denso\n\n#define o modelo\nmodelo = Sequencial()\nmodel.add(Dense(12, input_dim=3, ativação=\""relu\""))\nmodel.add(Dense(1, ativação=\""sigmóide\""))\n\n#compila o modelo\nmodel.compile(loss=\""binary_crossentropy\"", otimizador=\""adam\"", métricas=[\""accuracy\""])\n\n# resumir o modelo\nmodelo.resumo()""",206
41772out,Decidi dar uma caminhada porque o tempo estava agradável.,24
4177inp,João Smith,7
4180out,"As cores do arco-íris são vermelho, laranja, amarelo, verde, azul, índigo e violeta.",39
41842out,Frase imperativa.,9
41903out,A área do retângulo é 50 cm2.,17
41998inp,João Smith,7
42290inp,"O conteúdo da página da web inclui textos, imagens e vídeos.",29
42292inp,"O conteúdo da página da web inclui textos, imagens e vídeos.",29
42372inp,Eu vou para a loja.,12
42372out,Ele/Ela está indo para a loja.,15
42418out,Estados Unidos,8
42448out,Ele está indo para a loja.,12
42534out,Por que os cientistas não confiam nos átomos? Porque eles formam todas as coisas!,34
42562out,Agência de Inteligência Central,14
42582inp,Eu vou para a loja.,12
42582out,Eu irei até a loja.,13
42817out,Sentença declarativa,9
42955out,"Como você chama um urso sem dentes? um doce, normalmente feito de gelatina, com formato de urso!",37
43086out,Mãe - Enfermeira \nPai - Professor \nIrmã - Estudante,26
43133out,O sentimento da frase é positivo.,13
43297inp,Esta é uma frase aleatória.,16
43375out,Sentença declarativa,9
43377inp,Este é um exemplo de frase.,14
4342out,"\""A economia de um centavo equivale a um centavo recebido.\""",25
43524out,Esta é uma maneira eficiente de fazer isso.,21
43558out,Uma pessoa que muda muito de emprego ou situação não acumula bens ou estabilidade.,38
43595out,Compare esses dois itens.,11
43728out,João Smith,6
43773inp,Desenvolvedor de software,10
43788out,Qual é o pico mais alto do mundo?,16
43799inp,Tom Cruise,6
43916out,Buenos dias.,8
44007inp,Maria Curie,7
44053inp,Albert Einstein,6
44193inp,Maria Curie,7
44202out,Taylor Swift,5
44210out,y = mx + b,9
44315inp,Retriever Dourado,10
44335out,Sentimento negativo.,10
44344inp,Alice e Bob,7
44350inp,Das Alterações Climáticas.,17
44384out,A rápida raposa marrom salta sobre o cachorro preguiçoso.,26
44510out,Sentimento positivo.,9
44528out,"Esta é uma cidade pequena, pacífica e bonita.",23
44573inp,Esta é uma frase de exemplo.,15
44588inp,Harry Potter e a Pedra Filosofal,14
44591out,P: Qual foi a reação do peixe ao colidir com a parede?\nR: Droga!,36
44622inp,Coisas diferentes e incompatíveis,17
44630out,"imprimir(\""Olá mundo\"")",14
44662inp,Produto: Apple iPhone 12,11
4472out,Algo que tem aspectos bons e ruins; algo que apresenta características opostas.,29
44752inp,Eu sou um estudante.,12
44952inp,Carvalho,7
45152out,Qual é a capital da França?,11
45553out,"Itália, França, Alemanha, Espanha, Polónia",21
45708out,Ela foi até a loja.,13
45721out,"Monalisa, de Leonardo da Vinci, apresenta uma mulher serena com um sorriso que instiga a interpretação e demonstra sabedoria que cativou gerações de amantes da arte.",58
45737out,Uma pessoa que muda muito de atividade ou lugar não consegue se estabelecer e construir algo duradouro.,42
45745inp,<sem entrada>,9
45818out,"Console.WriteLine(\""Olá Mundo\"");",15
46064inp,"Resumo: O ajuste fino de prompts contínuos para tarefas alvo emergiu recentemente como uma alternativa compacta ao ajuste fino completo do modelo. Motivados por esses resultados promissores, investigamos a viabilidade de extrair uma interpretação discreta (textual) de prompts contínuos que seja fiel ao problema que eles resolvem. Na prática, observamos um comportamento imprevisível entre a tarefa resolvida por prompts contínuos e suas projeções discretas vizinhas mais próximas: podemos encontrar prompts contínuos que resolvem uma tarefa enquanto são projetados para um texto arbitrário (por exemplo, definição de um texto diferente ou mesmo um tarefa contraditória), estando dentro de uma margem muito pequena (2%) do melhor prompt contínuo do mesmo tamanho para a tarefa. Fornecemos intuições por trás desse comportamento estranho e surpreendente, bem como extensas análises empíricas que quantificam o efeito de vários parâmetros. Por exemplo, para modelos maiores, observamos maior desobediência, ou seja, podemos encontrar prompts que mapeiam mais de perto qualquer texto arbitrário com uma queda menor na precisão. Estas descobertas têm implicações importantes relacionadas com a dificuldade de interpretar fielmente prompts contínuos e sua generalização entre modelos e tarefas, fornecendo orientação para progressos futuros em modelos de linguagem de prompts.",475
46065inp,"Resumo: O ajuste fino de prompts contínuos para tarefas alvo emergiu recentemente como uma alternativa compacta ao ajuste fino completo do modelo. Motivados por esses resultados promissores, investigamos a viabilidade de extrair uma interpretação discreta (textual) de prompts contínuos que seja fiel ao problema que eles resolvem. Na prática, observamos um comportamento imprevisível ou inconsistente entre a tarefa resolvida por prompts contínuos e suas projeções discretas vizinhas mais próximas: podemos encontrar prompts contínuos que resolvem uma tarefa enquanto são projetados para um texto arbitrário (por exemplo, definição de um texto diferente ou mesmo um tarefa contraditória), estando dentro de uma margem muito pequena (2%) do melhor prompt contínuo do mesmo tamanho para a tarefa. Fornecemos intuições por trás desse comportamento estranho e surpreendente, bem como extensas análises empíricas que quantificam o efeito de vários parâmetros. Por exemplo, para modelos maiores, observamos maior desobediência, ou seja, podemos encontrar prompts que mapeiam mais de perto qualquer texto arbitrário com uma queda menor na precisão. Estas descobertas têm implicações importantes relacionadas com a dificuldade de interpretar fielmente prompts contínuos e sua generalização entre modelos e tarefas, fornecendo orientação para progressos futuros em modelos de linguagem de prompts.",479
46069inp,"null }, { """,8
46071inp,"null }, { """,8
46072inp,"null }, { """,8
46073inp,"null }, { """,8
46075inp,"null }, { """,8
46078inp,"null }, { """,8
46079inp,"null }, { """,8
46080inp,"null }, { """,8
46081inp,"null }, { """,8
46082inp,"null }, { """,8
46085inp,"null }, { """,8
46087inp,"null }, { """,8
46089inp,"null }, { """,8
46090inp,"null }, { """,8
46091inp,"null }, { """,8
46092inp,"null }, { """,8
46093inp,"null }, { """,8
46094inp,"null }, { """,8
46096inp,"null }, { """,8
46097inp,"null }, { """,8
46098inp,"null }, { """,8
46099inp,"null }, { """,8
46101inp,"null }, { """,8
46103inp,"null }, { """,8
46104inp,"null }, { """,8
46111inp,"null }, { """,8
46113inp,"null }, { """,8
46114inp,"null }, { """,8
46115inp,"null }, { """,8
46117inp,"null }, { """,8
46118inp,"null }, { """,8
46120inp,"null }, { """,8
46121inp,"null }, { """,8
46122inp,"null }, { """,8
46123inp,"null }, { """,8
46124inp,"null }, { """,8
46125inp,"null }, { """,8
46126inp,"null }, { """,8
46127inp,"null }, { """,8
46128inp,"null }, { """,8
46129inp,"null }, { """,8
46130inp,"null }, { """,8
46133inp,"null }, { """,8
46138inp,"null }, { """,8
46139inp,"null }, { """,8
46142inp,"null }, { """,8
46142out,"imprimir(\""Olá mundo\"")",14
46145inp,"null }, { """,8
46146inp,"null }, { """,8
46147inp,"null }, { """,8
46148inp,"null }, { """,8
46149inp,"null }, { """,8
46150inp,"null }, { """,8
46153inp,"null }, { """,8
46154inp,"null }, { """,8
46155inp,"null }, { """,8
46156inp,"null }, { """,8
46157inp,"null }, { """,8
46158inp,"null }, { """,8
46159inp,"null }, { """,8
46160inp,"null }, { """,8
46168inp,"null }, { """,8
46169inp,"null }, { """,8
46170inp,"null }, { """,8
46171inp,"null }, { """,8
46173inp,"null }, { """,8
46174inp,"null }, { """,8
46175inp,"null }, { """,8
46176inp,"null }, { """,8
46177inp,"null }, { """,8
46178inp,"null }, { """,8
46180inp,"null }, { """,8
46181inp,"null }, { """,8
46182inp,"null }, { """,8
46183inp,"null }, { """,8
46184inp,"null }, { """,8
46186inp,"null }, { """,8
46189inp,"null }, { """,8
46190inp,"null }, { """,8
46191inp,"null }, { """,8
46192inp,"null }, { """,8
46193inp,"null }, { """,8
46194inp,"null }, { """,8
46195inp,"null }, { """,8
46196inp,"null }, { """,8
46198inp,"null }, { """,8
46200inp,"null }, { """,8
46201inp,"null }, { """,8
46202inp,"null }, { """,8
46203inp,"null }, { """,8
46204inp,"null }, { """,8
46205inp,"null }, { """,8
46214inp,"null }, { """,8
46216inp,"null }, { """,8
46219inp,"null }, { """,8
46220inp,"null }, { """,8
46221inp,"null }, { """,8
46222inp,"null }, { """,8
46223inp,"null }, { """,8
46224inp,"null }, { """,8
46225inp,"null }, { """,8
46227inp,"null }, { """,8
46228inp,"null }, { """,8
46229inp,"null }, { """,8
46230inp,"null }, { """,8
46232inp,"null }, { """,8
46233inp,"null }, { """,8
46239inp,"null }, { """,8
46240inp,"null }, { """,8
46241inp,"null }, { """,8
46243inp,"null }, { """,8
46244inp,"null }, { """,8
46245inp,"null }, { """,8
46246inp,"null }, { """,8
46247inp,"null }, { """,8
46248inp,"null }, { """,8
46250inp,"null }, { """,8
46251inp,"null }, { """,8
46252inp,"null }, { """,8
46253inp,"null }, { """,8
46254inp,"null }, { """,8
46255inp,"null }, { """,8
46260inp,"null }, { """,8
46262inp,"null }, { """,8
46263inp,"null }, { """,8
46264inp,"null }, { """,8
46265inp,"null }, { """,8
46268inp,"null }, { """,8
46269inp,"null }, { """,8
46270inp,"null }, { """,8
46271inp,"null }, { """,8
46273inp,O homem correu com muita velocidade.,19
46391inp,Computação quântica,13
46561inp,Simulação de inteligência humana por meio de máquinas,24
46604out,Ele estava andando até a loja.,14
46610inp,Aumento da temperatura média da Terra,17
46626inp,O famoso Gatsby,10
46768inp,Esta é uma frase aleatória.,16
46779out,A ligeira raposa marrom saltou sobre o cão preguiçoso.,23
46821inp,Animais de espécies diferentes que geralmente não se dão bem,27
46840inp,"""""A Noite Estrelada"" (Vincent van Gogh) e ""A Noite Antes do Circo"" (Vik Muniz)""",36
46843inp,Alice e Bob,7
46874inp,Carros elétricos,10
46934inp,O famoso Gatsby,10
4699out,Sentença interrogativa.,10
47066out,Eu sou um estudante.,11
47130inp,Nova Iorque,9
47210inp,Gerente de marketing,9
47382inp,O artigo pode ser acessado através deste endereço eletrônico,28
47430out,O sentimento da frase é negativo.,14
47456out,O gato sentou-se no tapete.,14
47500inp,sapatos fabricados pela Nike,12
47501inp,Realidade suplementada por elementos virtuais,16
47591out,Eu quero ir a loja.,12
47614out,Nenhum preconceito foi detectado.,14
47727inp,Tesla Modelo 3,8
47750out,Esta frase é uma afirmação.,16
47892out,Foi um belo dia.,12
48209out,Triângulo retângulo.,12
48215out,A porta foi aberta por ele.,14
48362inp,Ele abriu a porta.,12
48467inp,João Smith,7
48468inp,Cidade de Nova York,10
48528inp,Torta de maçã,11
48633inp,Simulação de inteligência humana em máquinas,21
48690inp,Simulação de inteligência humana em máquinas,21
48691inp,Corporação ABC,9
48762out,"\""A educação é essencial para alcançar o sucesso.\""",24
48778inp,Objeto 1: Maçã\nObjeto 2: Laranja,20
48823inp,5 e 8,7
49019out,Nenhum viés desse tipo foi detectado.,17
49049out,Sentença declarativa.,10
4912out,Sentença declarativa,9
4913out,Frase completa.,8
49162out,"Console.WriteLine(\""Olá Mundo\"");",15
49203out,Ela está indo para a loja.,13
49306out,Sentimento negativo.,10
4933inp,Harry Potter e a Pedra Filosofal,14
49378out,Ela fez aquilo.,10
4942out,Albert Einstein,5
49485inp,Das Alterações Climáticas,16
49524inp,Vingadores Ultimato,11
49573out,"""""A solidão expressa a dor de estar sozinho e a solitude expressa o prazer de estar sozinho."" ― Paul Tillich""",39
49740inp,Qual é a capital da França?,12
49740out,A capital da França é Paris.,11
49777out,sem solução ou alternativa,13
49780out,"sem solução, sem alternativa, sem possibilidade de escape",22
49781out,Sem solução/ sem alternativa/ sem escapatória,20
49783out,Sem solução ou alternativa,13
49784out,sem solução/ sem alternativa/ sem opção,18
49824out,Estou muito desejoso para ouvir de você em breve.,23
49836inp,"123 Main Street, Anytown, EUA",13
49932out,"Paris, França",7
49933out,"Berlim, Alemanha",9
50120out,SELECT * FROM nome_tabela;,12
50162inp,Esta é uma frase de exemplo.,15
50163inp,Donald Trump foi processado formalmente em 18 de dezembro de 2019.,23
50164inp,Donald Trump foi processado formalmente em 18 de dezembro de 2019.,23
50223inp,"Maçã, Laranja, Banana",13
5025inp,Produto: Smartphone,10
50341out,"(1) “É um ótimo dia”, disse ele. (2) \""Com certeza\"", ela concordou, aproveitando o sol brilhante. (3) Ele sentiu o calor do sol no rosto e sorriu, pensando em todas as possibilidades.",82
50344inp,Los Angeles,6
5035out,print(,5
5041out,Hello World,5
50421inp,"Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano, Netuno",31
50421out,"Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano, Netuno",30
50425inp,Este é um exemplo de frase.,14
50436inp,Desejo a você um dia agradável,17
50554inp,Apple AirPods Pro,9
50589inp,Cidade de Nova York,10
50628inp,Torta de maçã,11
50687inp,Produto: Smartphone,10
50747inp,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",25
50752out,Ele correu para a loja.,12
50774inp,"Maçã, Banana, Uvas",12
50808inp,"imprimir(\""Olá mundo\"")",15
50829out,A menina pintou com pincel à tarde.,16
50848out,Sentimento negativo.,10
50916out,"A contração de \""eles são\"" é \""eles são\"".",22
51047out,Sentimento: Positivo,10
51149out,Sentença declarativa.,10
51210out,O triângulo é um triângulo retângulo.,19
51220out,Sequóia,6
51412inp,Bolo de chocolate,8
51671out,"\""Se na primeira vez você não conseguir, tente mais vezes.\""",27
51675out,Sentença declarativa,9
51706inp,das Alterações Climáticas,16
51716out,"Olá, como vai?",11
51753out,Esta afirmação é uma opinião.,17
51786out,A capital da Índia é Nova Delhi.,14
51797inp,Vingadores Ultimato,11
51854inp,Cidade de Nova York,10
5189inp,Java e Python,7
51923inp,A Noite Estrelada de Vincent van Gogh,15
51979out,Sentimento positivo.,9
51999inp,Michelle Obama,6
5250inp,O impacto das mídias sociais na saúde mental,21
526out,Sentimento positivo.,8
5340inp,"Computação remota, através da internet",17
5359inp,Qual é a montanha mais alta do mundo?,18
5361inp,A noite com muitas estrelas,14
5375inp,Tecnologia: Processos computacionais que permitem que os computadores aprendam com dados sem serem explicitamente programados,37
5419out,O sentimento da frase é positivo.,13
5469inp,Pode me ajudar?,11
5509inp,"Atender telefone, reservar voo, escrever relatório",21
5509out,"Atender telefone, reservar voo, escrever relatório",20
550out,- Maçãs\n- Bananas\n- Laranjas\n- Uvas\n- Morangos,29
5538out,Ele estava andando até a loja.,14
562out,Los Angeles Lakers,5
5635inp,Samsung Galaxy S20,8
5714out,Frase completa.,8
5814out,"As cores do arco-íris são vermelho, laranja, amarelo, verde, azul, índigo e violeta.",39
5829inp,"Sistemas computacionais que imitam a capacidade humana de raciocinar, aprender e resolver problemas",34
6183out,Sentença declarativa.,10
6357out,Sentimento positivo.,9
6422inp,Esta é uma frase aleatória.,16
6434out,Sentimento positivo,8
6778out,Ela correu para a loja.,13
7057out,Sentimento positivo.,9
7081out,Forrest Gump,7
7120out,Esta é uma questão.,11
7131out,Emoção ruim,9
7148inp,O caderno,7
7148out,Filme que mistura elementos de comédia e romance,17
7191inp,"\""Olá Mundo\""",10
7226out,A Mona Lisa de Leonardo da Vinci.,13
7293out,Eu fui à loja.,11
7314inp,"Eu queria descansar das más notícias do mundo, então decidi me afastar um pouco. Fui à praia e aproveitei o sol, a areia e as ondas. Conheci algumas pessoas novas e tive ótimas conversas. Foi um ótimo momento para escapar das preocupações do mundo.",109
7376inp,Java e Python,7
739inp,O artigo,7
743inp,O artigo é uma leitura essencial para quem quer entender a fundo o assunto.,30
7494out,Voz na qual o sujeito recebe a ação,17
751out,y = mx + b,8
7538inp,O retorno,7
7598inp,1965 - a missão Apollo 11\n1973 - a primeira chamada de celular\n1989 - a queda do Muro de Berlim,37
7598out,1965 - a missão Apollo 11\n1973 - a primeira chamada de celular\n1989 - a queda do Muro de Berlim,36
7634inp,O Apanhador no Campo de Centeio,16
7655inp,Tópico: Mudanças Climáticas,17
7676out,iPhone 11.,6
7693inp,Coisas diferentes e incompatíveis,17
7730out,O esquema de rima do poema é AABB.,18
7737out,A raiz quadrada de 64 é 8.,14
776out,"Olá, como vai?",10
7796out,Esta é uma frase declarativa.,14
782inp,Engenheiro de software,9
8187out,Eu li o livro.,10
8441ins,Quais são os benefícios de aprender uma língua estrangeira?,25
8545out,"Alemanha, França e Reino Unido.",15
8549out,Esta frase é uma afirmação.,16
8687out,"Maçã, Laranja, Banana",12
8810inp,Ela foi até a loja.,14
9009out,Ele estava caminhando para a loja.,15
9092inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9093inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9095inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9096inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9097inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9098inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9099inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9101inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9102inp,"Num inquérito recente, 90% dos participantes indicaram que o autocuidado é importante para a sua saúde e bem-estar geral.",43
9263out,Eu fui à loja.,11
946inp,iPhone 11 Pro,7
952inp,Inteligência Artificial e Aprendizado de Máquina,20
9748ins,Compare esses dois itens.,11
97out,A área do retângulo é 50 cm2.,16
9855out,Eu irei à loja.,11
985out,Sentença declarativa.,9
98out,A capital de Espanha é madrid.,12
